captured_at_utc,bookmaker,event_url,market_group,market_name,selection,line,decimal_odds,raw_payload,season,round,hash_key
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel6,,0.95,,2025,finals_w1,b5657d04b8348dd98be80c0dc01e85b21dd0b6dce8249f27bc9bfdc2172b2c8a
2025-08-28T09:45:46+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403225,H2H_or_Unknown,Unparsed,Sel15,,3.21,,2025,finals_w1,75257a8cdbd96b143fe4d9f3b60862f03161651496c8dbb16af08f0c9fa5c607
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel2,,1.15,,2025,finals_w1,33af3ba0fe0311a987765dda262c73d201f2236945de31210697098059492b46
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel8,,4.55,,2025,finals_w1,8e52d01d9e69913853748f95c8054694effb288d19f57051521d2b576b0d0ac7
2025-08-28T09:45:43+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406663,H2H_or_Unknown,Unparsed,Sel15,,3.21,,2025,finals_w1,ac0868d79154e5510e6afb57d70d28083a7a18ae91b821bcab3cabc262663f69
2025-08-28T09:45:46+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403225,H2H_or_Unknown,Unparsed,Sel16,,4.55,,2025,finals_w1,ed781ad78102056a712451fd2a28c7a6eb211cf85a327e84d81137269e01015f
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel2,,4.16,,2025,finals_w1,f5fef3797fcc1e1658aa175812b2969f8c3d02478df29ec0b9eeb827f76ce448
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel13,,1.39,,2025,finals_w1,f2554ba579a639b27069a8e4386c6fdb0f2cd588be2dbd7bd28942b35e742153
2025-08-28T09:45:43+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406663,H2H_or_Unknown,Unparsed,Sel9,,4.55,,2025,finals_w1,84a7efea6b2271a0effc65c42b2424b1663b5b49131e799b72fdd9442db5a5d2
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel1,,1.15,,2025,finals_w1,fcbac0df3796155104e775852e38e2800868a49e33739a1ce6026de6fefec6ee
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel19,,1.02,,2025,finals_w1,69aca494a3a74b211956c3ac2864e5cfb3be63e8132895d1eb7b50befd523d07
2025-08-28T09:47:58+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/geelong-cats-v-brisbane-lions-9551769,H2H_or_Unknown,Unparsed,Sel9,,0.23,,2025,finals_w1,c6806e2db04ad94ef8e12dbafe5e537e407ff1eeed56e3328b9670d0ff4c9621
2025-08-28T09:45:46+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403225,H2H_or_Unknown,Unparsed,Sel12,,1.02,,2025,finals_w1,492e6d2698561e7ecae5b55b1e2510c5f19be138fa26a0b8d068b13b86a8395b
2025-08-28T09:47:58+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/geelong-cats-v-brisbane-lions-9551769,H2H_or_Unknown,Unparsed,Sel3,,0.23,,2025,finals_w1,0eaacee98c89812331a463f91d92a730f1a8b934f98d5ebe89068e675c293aba
2025-08-28T09:47:58+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/geelong-cats-v-brisbane-lions-9551769,H2H_or_Unknown,Unparsed,Sel7,,0.23,,2025,finals_w1,10c023a232cdb25708b5f39170144c42f532e9c159ad8ca470df454d69eadeed
2025-08-28T09:45:49+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel3,,4.16,,2025,finals_w1,a6101e4d14434e1f343f4555b757f19b10c94f38bcc8bf255e561d90f886084b
2025-08-28T09:45:49+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel14,,1.39,,2025,finals_w1,de22a1376339cd3cecebbed99a5f086215210e4fc1fb75e317784b0e53b65df9
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel9,,4.55,,2025,finals_w1,7f5e6ba4cad2a22504445f19de747764c3fcd845b977003a4bd608328fe45c87
2025-08-28T09:47:54+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/fremantle-v-gold-coast-suns-9554694,H2H_or_Unknown,Unparsed,Sel19,,0.25,,2025,regular,a2a176b87b07cb0e076373dcce6b7eb8e2d4bea6c6a91d719bff66da80fa968e
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel9,,2.63,,2025,finals_w1,78517820542ec83f71b0c90476b2d1c20cc3dc048453feb6000477767e9e7cb5
