captured_at_utc,bookmaker,event_url,market_group,market_name,selection,line,decimal_odds,raw_payload,season,round,hash_key,source_kind
2024-06-15T23:59:00+00:00,market_consensus,asb:2024:Western Bulldogs_vs_Fremantle:2024-06-15,H2H,Match,Home,,1.73,,2024,,37422a29bc0cf7db503b66daa7aec1b54bb91f76fd4c70fc77b531151f5a9411,asb_excel
2024-05-11T23:59:00+00:00,market_consensus,asb:2024:Hawthorn_vs_St Kilda:2024-05-11,H2H,Match,Home,,2.52,,2024,,a60c6e62bc0ca41719fe95788d3c6a772b36649e9cf8ad9f5fd98793dc84b1e4,asb_excel
2024-06-30T23:59:00+00:00,market_consensus,asb:2024:Richmond_vs_Carlton:2024-06-30,H2H,Match,Home,,6.58,,2024,,1dbda59af9e77ac10e19a16a2c02fb061c1b2755d423634a6418a64ed7d02679,asb_excel
2024-05-04T23:59:00+00:00,market_consensus,asb:2024:Sydney_vs_GWS Giants:2024-05-04,H2H,Match,Away,,1.95,,2024,,f71687ad615ad4421e832c2df891711189a2fc4d4dc0fba7af21191dfbdc3784,asb_excel
2024-07-20T23:59:00+00:00,market_consensus,asb:2024:St Kilda_vs_West Coast:2024-07-20,H2H,Match,Home,,1.1,,2024,,4b5a5dd51b97bbefec79c39938900440353b7001d31389ae54a896e996b564d0,asb_excel
2024-07-28T23:59:00+00:00,market_consensus,asb:2024:Adelaide_vs_Hawthorn:2024-07-28,H2H,Match,Away,,1.81,,2024,,0fe3b0ec6bb03cb8d029f31b5abbf94f9eeb3e5534bb03dd6677cebec93a1f91,asb_excel
2024-09-07T23:59:00+00:00,market_consensus,asb:2024:Sydney_vs_GWS Giants:2024-09-07,H2H,Match,Home,,1.56,,2024,,09f46a05ee15a60e8dbc10750980d45d51fefb761a9f0cc75d963bd2c9610631,asb_excel
2024-03-09T23:59:00+00:00,market_consensus,asb:2024:GWS Giants_vs_Collingwood:2024-03-09,H2H,Match,Home,,1.69,,2024,,d61d763969655009ac32441cca94d48dbc8d060fe00d240b44d8f2252831d423,asb_excel
2024-06-15T23:59:00+00:00,market_consensus,asb:2024:Adelaide_vs_Sydney:2024-06-15,H2H,Match,Away,,1.3,,2024,,1667476f7dab0a86b3336d4b21a8fea21152ebd1828701cb37564991a5c653f6,asb_excel
2024-09-07T23:59:00+00:00,market_consensus,asb:2024:Brisbane Lions_vs_Carlton:2024-09-07,H2H,Match,Away,,3.8,,2024,,3b0424ee985d99803c7630bb4a20a6fd7d406802dd5812c7abf01db4f53eea86,asb_excel
2024-05-10T23:59:00+00:00,market_consensus,asb:2024:Fremantle_vs_Sydney:2024-05-10,H2H,Match,Home,,2.24,,2024,,35ff195d10e035b5dfbcb175c9e8a2daea6110b88aac2678e56d3c25487709aa,asb_excel
2024-07-27T23:59:00+00:00,market_consensus,asb:2024:Melbourne_vs_GWS Giants:2024-07-27,H2H,Match,Away,,1.87,,2024,,6b298953863b93a649b9b795e6459408ffa59c32c0cbf4207cc93a75cfcc807d,asb_excel
2024-03-08T23:59:00+00:00,market_consensus,asb:2024:Brisbane Lions_vs_Carlton:2024-03-08,H2H,Match,Home,,1.27,,2024,,e56a9a9435a2f0b2f92277d8b718938158574e2ba100c83ddea3c3e65b1e9000,asb_excel
2024-06-15T23:59:00+00:00,market_consensus,asb:2024:Western Bulldogs_vs_Fremantle:2024-06-15,H2H,Match,Away,,2.02,,2024,,8c92679bb48afe0a2616ad93871f599c40cc4272f2daf58b30eca47f7083cd38,asb_excel
