game_id,bookmaker,event_url,match_quality,found_at,notes
2025_ID37291,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,42,browse,
2025_ID37291,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2390970,44,browse,
2025_ID37295,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,50,browse,
2025_ID37295,pointsbet,,0,none,no url returned
2025_ID37289,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,100,browse,
2025_ID37289,pointsbet,,0,none,no url returned
2025_ID37292,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,100,browse,
2025_ID37292,pointsbet,,0,none,no url returned
2025_ID37296,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,100,browse,
2025_ID37296,pointsbet,,0,none,no url returned
2025_ID37288,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,50,browse,
2025_ID37288,pointsbet,,0,none,no url returned
2025_ID37290,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/western-bulldogs-v-fremantle-9504846,100,browse,
2025_ID37290,pointsbet,,0,none,no url returned
2025_ID37294,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/brisbane-lions-v-hawthorn-9504847,100,browse,
2025_ID37294,pointsbet,,0,none,no url returned
2025_ID37092,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/gold-coast-suns-v-essendon-9504866,100,browse,
2025_ID37092,pointsbet,,0,none,no url returned
2025_ID37315,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,
2025_ID37315,pointsbet,,0,none,no url returned
2025_ID37316,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,
2025_ID37316,pointsbet,,0,none,no url returned
2025_ID37317,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,
2025_ID37317,pointsbet,,0,none,no url returned
2025_ID37318,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,
2025_ID37318,pointsbet,,0,none,no url returned
2025_ID37319,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,
2025_ID37319,pointsbet,,0,none,no url returned
2025_ID37320,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,
2025_ID37320,pointsbet,,0,none,no url returned
2025_ID37321,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,
2025_ID37321,pointsbet,,0,none,no url returned
2025_ID37322,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,
2025_ID37322,pointsbet,,0,none,no url returned
