game_id,bookmaker,event_url,match_quality,found_at,notes,bookmaker_event_id,canonical_url,raw_url,discovered_at,mode
2025_ID37291,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,42,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,2025-08-23T04:26:50.949015+00:00,upcoming
2025_ID37291,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2390970,44,browse,,2390970,https://pointsbet.com.au/sports/aussie-rules/AFL/2390970,https://pointsbet.com.au/sports/aussie-rules/AFL/2390970,2025-08-23T04:26:54.787825+00:00,upcoming
2025_ID37295,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,50,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,2025-08-23T04:26:57.182055+00:00,upcoming
2025_ID37295,pointsbet,,0,none,no url returned,,,,2025-08-23T04:26:57.281279+00:00,upcoming
2025_ID37289,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,2025-08-23T04:27:00.050708+00:00,upcoming
2025_ID37289,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:00.187701+00:00,upcoming
2025_ID37292,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,2025-08-23T04:27:02.565246+00:00,upcoming
2025_ID37292,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:02.736718+00:00,upcoming
2025_ID37296,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T04:27:05.155972+00:00,upcoming
2025_ID37296,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:05.331355+00:00,upcoming
2025_ID37288,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,50,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T04:27:07.721079+00:00,upcoming
2025_ID37288,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:07.863874+00:00,upcoming
2025_ID37290,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/western-bulldogs-v-fremantle-9504846,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/western-bulldogs-v-fremantle-9504846,https://www.sportsbet.com.au/betting/australian-rules/afl/western-bulldogs-v-fremantle-9504846,2025-08-23T04:27:10.284593+00:00,upcoming
2025_ID37290,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:10.457515+00:00,upcoming
2025_ID37294,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/brisbane-lions-v-hawthorn-9504847,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/brisbane-lions-v-hawthorn-9504847,https://www.sportsbet.com.au/betting/australian-rules/afl/brisbane-lions-v-hawthorn-9504847,2025-08-23T04:27:12.847462+00:00,upcoming
2025_ID37294,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:13.015956+00:00,upcoming
2025_ID37092,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/gold-coast-suns-v-essendon-9504866,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/gold-coast-suns-v-essendon-9504866,https://www.sportsbet.com.au/betting/australian-rules/afl/gold-coast-suns-v-essendon-9504866,2025-08-23T04:27:15.429613+00:00,upcoming
2025_ID37092,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:15.593441+00:00,upcoming
2025_ID37315,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T04:27:18.075465+00:00,upcoming
2025_ID37315,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:18.240771+00:00,upcoming
2025_ID37316,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T04:27:20.649446+00:00,upcoming
2025_ID37316,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:20.813230+00:00,upcoming
2025_ID37317,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T04:27:23.229788+00:00,upcoming
2025_ID37317,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:23.377998+00:00,upcoming
2025_ID37318,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T04:27:25.834405+00:00,upcoming
2025_ID37318,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:26.003769+00:00,upcoming
2025_ID37319,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T04:27:28.469037+00:00,upcoming
2025_ID37319,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:28.654702+00:00,upcoming
2025_ID37320,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T04:27:31.069182+00:00,upcoming
2025_ID37320,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:31.237173+00:00,upcoming
2025_ID37321,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T04:27:33.644152+00:00,upcoming
2025_ID37321,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:33.822072+00:00,upcoming
2025_ID37322,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,66,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T04:27:36.229845+00:00,upcoming
2025_ID37322,pointsbet,,0,none,no url returned,,,,2025-08-23T04:27:36.339296+00:00,upcoming
