provider,venue,lat,lon,tz,captured_at_utc,forecast_time_utc,season,round,game_key,temp_c,wind_speed_ms,wind_gust_ms,rain_prob,pressure_hpa,cloud_pct,raw_payload
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T07:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,10.9,3.9,10.4,0.19,1008.4,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T08:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,10.2,3.91,9.9,0.2,1008.5,68.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T09:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,9.5,4.0,10.0,0.21,1008.5,35.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T10:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,9.2,4.31,10.3,0.23,1008.6,3.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T11:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,9.3,4.8,10.6,0.24,1009.0,25.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T12:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,9.6,5.3,11.0,0.25,1009.5,47.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T13:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,9.9,5.56,11.3,0.26,1010.1,69.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T14:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,9.7,5.38,11.4,0.25,1010.8,79.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T15:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,9.5,5.13,11.3,0.24,1011.7,90.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-05T23:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,19.2,4.4,6.8,0.13,1016.2,55.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-06T00:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,18.0,3.2,5.8,0.12,1017.2,33.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-06T01:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,16.8,2.55,5.3,0.13,1018.3,12.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-06T02:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,16.1,2.3,5.8,0.16,1019.3,8.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-06T03:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,15.4,3.14,6.7,0.2,1020.2,4.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-06T04:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,14.7,3.83,7.0,0.23,1021.0,0.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-06T05:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,14.1,3.28,5.8,0.24,1021.5,0.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-06T06:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,13.4,2.25,3.8,0.23,1021.9,0.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-06T07:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,12.8,1.8,2.5,0.23,1022.3,0.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-06T08:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,12.3,1.8,2.4,0.24,1022.6,0.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
