type,bookmaker,game_id,market_id,line,overround,team,player_name_std
overround_out_of_range,,,1.0,14.5,12.457704407891605,,
overround_out_of_range,,,1.0,15.0,203.49362500377384,,
overround_out_of_range,,,1.0,15.5,22.25598220663686,,
overround_out_of_range,,,1.0,16.5,19.606091944482177,,
overround_out_of_range,,,1.0,17.5,26.89074803685911,,
overround_out_of_range,,,1.0,18.5,23.044297740985616,,
overround_out_of_range,,,1.0,19.5,23.237020498181145,,
overround_out_of_range,,,1.0,20.0,134.72069482802112,,
overround_out_of_range,,,1.0,20.5,23.77584377062837,,
overround_out_of_range,,,1.0,21.5,29.969008136605662,,
overround_out_of_range,,,1.0,22.5,22.837030264904733,,
overround_out_of_range,,,1.0,23.5,27.857277114590843,,
overround_out_of_range,,,1.0,24.5,30.981538027375343,,
overround_out_of_range,,,1.0,25.0,66.30239802272443,,
overround_out_of_range,,,1.0,25.5,20.371719575318156,,
overround_out_of_range,,,1.0,26.5,16.23872789262684,,
overround_out_of_range,,,1.0,27.5,17.958513825534872,,
overround_out_of_range,,,1.0,28.5,21.80724712785236,,
overround_out_of_range,,,1.0,29.5,5.844486111416225,,
overround_out_of_range,,,1.0,30.0,26.463660542271292,,
overround_out_of_range,,,1.0,30.5,8.844544462564112,,
overround_out_of_range,,,1.0,31.5,10.539958457125906,,
overround_out_of_range,,,1.0,32.5,5.3129542284809546,,
overround_out_of_range,,,1.0,33.5,5.6376883234638075,,
overround_out_of_range,,,1.0,34.5,13.248772337807834,,
overround_out_of_range,,,1.0,35.0,8.715906647395522,,
overround_out_of_range,,,1.0,35.5,10.066999573888092,,
overround_out_of_range,,,1.0,36.5,6.9494992997186245,,
overround_out_of_range,,,1.0,37.5,4.945959458443872,,
overround_out_of_range,,,1.0,38.5,5.019807073907029,,
overround_out_of_range,,,1.0,39.5,19.803984305114316,,
overround_out_of_range,,,1.0,40.0,1.9966346545254454,,
overround_out_of_range,,,1.0,40.5,21.27702244236238,,
overround_out_of_range,,,1.0,41.5,18.14000537320632,,
