game_key,season,round,venue_id,home_team_id,away_team_id,home_score,away_score,margin,winner_team_id,start_time_utc,home_goals,home_behinds,away_goals,away_behinds,status,source_kind,payload_json
5170c4c6d553e0f6798244364768c3a5e06d2711,2025,13,deebe0ef10d4a80d665720bce769943cce82971c,7764d164ac71f3984bee8354c521de286e386353,a2c5affbc27b18d5286ceabdddbf32062c7bffb8,59,81,-22,a2c5affbc27b18d5286ceabdddbf32062c7bffb8,2025-06-05 11:30:00+00:00,8,11,12,9,final,squiggle,"{""winner"": ""Hawthorn"", ""is_final"": 0, ""hgoals"": 8, ""complete"": 100, ""hscore"": 59, ""winnerteamid"": 10, ""ateamid"": 10, ""roundname"": ""Round 13"", ""id"": 37196, ""hteam"": ""Western Bulldogs"", ""hbehinds"": 11, ""date"": ""2025-06-05 19:30:00"", ""is_grand_final"": 0, ""localtime"": ""2025-06-05 19:30:00"", ""year"": 2025, ""updated"": ""2025-06-05 22:10:06"", ""round"": 13, ""abehinds"": 9, ""venue"": ""Docklands"", ""ateam"": ""Hawthorn"", ""unixtime"": 1749115800, ""tz"": ""+10:00"", ""timestr"": ""Full Time"", ""hteamid"": 18, ""agoals"": 12, ""ascore"": 81}"
906e0d2a0fe28f3dbc5d0efcf1f27bcf3a4d12ea,2025,13,6c30951b060d107f0f225a775557b30f5c432160,f36abca66a42f91ede6e6949520fc052c92c8a17,4064edbbf8a87d0b281be668cabfa76286491511,68,63,5,f36abca66a42f91ede6e6949520fc052c92c8a17,2025-06-06 11:40:00+00:00,10,8,8,15,final,squiggle,"{""ascore"": 63, ""agoals"": 8, ""hteamid"": 1, ""timestr"": ""Full Time"", ""venue"": ""Adelaide Oval"", ""ateam"": ""Brisbane Lions"", ""tz"": ""+10:00"", ""unixtime"": 1749202800, ""round"": 13, ""abehinds"": 15, ""year"": 2025, ""localtime"": ""2025-06-06 19:10:00"", ""updated"": ""2025-06-06 22:22:34"", ""is_grand_final"": 0, ""date"": ""2025-06-06 19:40:00"", ""hbehinds"": 8, ""id"": 37197, ""hteam"": ""Adelaide"", ""roundname"": ""Round 13"", ""is_final"": 0, ""hgoals"": 10, ""winnerteamid"": 1, ""complete"": 100, ""hscore"": 68, ""ateamid"": 2, ""winner"": ""Adelaide""}"
7b60d20379446aa46993aafa08f675e3c53be5f9,2025,13,1bdab4bb3bf17d9ac3b691a00d99748af968a9a5,4f819d95b714bfe034dcf3c3d0edb50d55fac635,83c3f86ca221e4004e754e25ae59e8df6b99e83d,36,80,-44,83c3f86ca221e4004e754e25ae59e8df6b99e83d,2025-06-07 05:20:00+00:00,4,12,11,14,final,squiggle,"{""date"": ""2025-06-07 13:20:00"", ""hbehinds"": 12, ""roundname"": ""Round 13"", ""hteam"": ""Richmond"", ""id"": 37198, ""winner"": ""Sydney"", ""ateamid"": 16, ""hscore"": 36, ""complete"": 100, ""hgoals"": 4, ""winnerteamid"": 16, ""is_final"": 0, ""timestr"": ""Full Time"", ""agoals"": 11, ""hteamid"": 14, ""ascore"": 80, ""unixtime"": 1749266400, ""tz"": ""+10:00"", ""ateam"": ""Sydney"", ""venue"": ""M.C.G."", ""updated"": ""2025-06-07 15:55:11"", ""year"": 2025, ""localtime"": ""2025-06-07 13:20:00"", ""abehinds"": 14, ""round"": 13, ""is_grand_final"": 0}"
91d705f4ed98acd38aecceca3cc255bde1cb3bbd,2025,13,5429bf4d0be0bb3395065807f9b5a4ed08a4e7ff,2cc7dcbdb6678bfc418545cd1e594aba97c10989,abac2d055027ccf9b2cb30e03eb9bfa38e561ba7,61,37,24,2cc7dcbdb6678bfc418545cd1e594aba97c10989,2025-06-07 08:15:00+00:00,9,7,5,7,final,squiggle,"{""roundname"": ""Round 13"", ""hteam"": ""Geelong"", ""id"": 37199, ""winner"": ""Geelong"", ""winnerteamid"": 7, ""hscore"": 61, ""hgoals"": 9, ""complete"": 100, ""ateamid"": 8, ""is_final"": 0, ""date"": ""2025-06-07 16:15:00"", ""hbehinds"": 7, ""updated"": ""2025-06-07 18:59:33"", ""localtime"": ""2025-06-07 16:15:00"", ""year"": 2025, ""abehinds"": 7, ""round"": 13, ""is_grand_final"": 0, ""timestr"": ""Full Time"", ""ascore"": 37, ""hteamid"": 7, ""agoals"": 5, ""unixtime"": 1749276900, ""tz"": ""+10:00"", ""ateam"": ""Gold Coast"", ""venue"": ""Kardinia Park""}"
9bc14922973a43391e2390c3d5e4095fb8107062,2025,13,02132746c1cd09dcb60044181712c5634adde534,bd12ce27cae1a14a2e63829c114a863978693ead,7b2faab8d0c9a9f36af890c8408ef89e52342cbb,50,66,-16,7b2faab8d0c9a9f36af890c8408ef89e52342cbb,2025-06-07 11:35:00+00:00,7,8,9,12,final,squiggle,"{""is_grand_final"": 0, ""updated"": ""2025-06-07 22:16:09"", ""localtime"": ""2025-06-07 19:35:00"", ""year"": 2025, ""abehinds"": 12, ""round"": 13, ""tz"": ""+10:00"", ""unixtime"": 1749288900, ""ateam"": ""Port Adelaide"", ""venue"": ""Manuka Oval"", ""timestr"": ""Full Time"", ""ascore"": 66, ""hteamid"": 9, ""agoals"": 9, ""winner"": ""Port Adelaide"", ""complete"": 100, ""hgoals"": 7, ""hscore"": 50, ""ateamid"": 13, ""winnerteamid"": 13, ""is_final"": 0, ""roundname"": ""Round 13"", ""hteam"": ""Greater Western Sydney"", ""id"": 37200, ""hbehinds"": 8, ""date"": ""2025-06-07 19:35:00""}"
0493f3995283209daf7beb0eab35990355ad442a,2025,13,6291aa9c6228c2be3028f414e924ee0febc7a1e2,e7e68af8d5c1c0b51053089afcaf81da6f4a4394,f3a1ab34f88720a82b20b98b8479917592f81c05,62,52,10,e7e68af8d5c1c0b51053089afcaf81da6f4a4394,2025-06-08 07:20:00+00:00,9,8,6,16,final,squiggle,"{""localtime"": ""2025-06-08 13:20:00"", ""year"": 2025, ""updated"": ""2025-06-08 17:56:35"", ""round"": 13, ""abehinds"": 16, ""is_grand_final"": 0, ""timestr"": ""Full Time"", ""ascore"": 52, ""hteamid"": 12, ""agoals"": 6, ""venue"": ""Hands Oval"", ""ateam"": ""West Coast"", ""unixtime"": 1749360000, ""tz"": ""+10:00"", ""roundname"": ""Round 13"", ""id"": 37201, ""hteam"": ""North Melbourne"", ""winner"": ""North Melbourne"", ""is_final"": 0, ""hgoals"": 9, ""hscore"": 62, ""complete"": 100, ""winnerteamid"": 12, ""ateamid"": 17, ""date"": ""2025-06-08 15:20:00"", ""hbehinds"": 8}"
00fbb04549131abaf1294c32ef170bf1fd6a0043,2025,13,1bdab4bb3bf17d9ac3b691a00d99748af968a9a5,885411cc009ad10721805983e9252b858933c57f,732a1c61f9bbd47623444363b2e82845c845c811,78,70,8,885411cc009ad10721805983e9252b858933c57f,2025-06-08 11:20:00+00:00,11,12,11,4,final,squiggle,"{""date"": ""2025-06-08 19:20:00"", ""hbehinds"": 12, ""roundname"": ""Round 13"", ""hteam"": ""Carlton"", ""id"": 37202, ""winner"": ""Carlton"", ""hgoals"": 11, ""hscore"": 78, ""complete"": 100, ""winnerteamid"": 3, ""ateamid"": 5, ""is_final"": 0, ""timestr"": ""Full Time"", ""hteamid"": 3, ""ascore"": 70, ""agoals"": 11, ""tz"": ""+10:00"", ""unixtime"": 1749374400, ""venue"": ""M.C.G."", ""ateam"": ""Essendon"", ""updated"": ""2025-06-08 22:02:11"", ""year"": 2025, ""localtime"": ""2025-06-08 19:20:00"", ""abehinds"": 4, ""round"": 13, ""is_grand_final"": 0}"
620edd7e545d4aa64fda6d34b3586ad6dc2427ec,2025,13,1bdab4bb3bf17d9ac3b691a00d99748af968a9a5,45cdce34c38f3fd09b23649cd037064faedc6a88,11d8c80872895da495d18bf88fbbb05e0c80401d,71,72,-1,11d8c80872895da495d18bf88fbbb05e0c80401d,2025-06-09 07:20:00+00:00,10,11,11,6,final,squiggle,"{""is_grand_final"": 0, ""abehinds"": 6, ""round"": 13, ""updated"": ""2025-06-09 17:59:35"", ""localtime"": ""2025-06-09 15:20:00"", ""year"": 2025, ""unixtime"": 1749446400, ""tz"": ""+10:00"", ""venue"": ""M.C.G."", ""ateam"": ""Collingwood"", ""agoals"": 11, ""ascore"": 72, ""hteamid"": 11, ""timestr"": ""Full Time"", ""ateamid"": 4, ""hscore"": 71, ""hgoals"": 10, ""complete"": 100, ""winnerteamid"": 4, ""is_final"": 0, ""winner"": ""Collingwood"", ""hteam"": ""Melbourne"", ""id"": 37203, ""roundname"": ""Round 13"", ""hbehinds"": 11, ""date"": ""2025-06-09 15:20:00""}"
