game_key,season,round,venue_id,home_team_id,away_team_id,home_score,away_score,margin,winner_team_id,start_time_utc,home_goals,home_behinds,away_goals,away_behinds,status,source_kind,payload_json
7a3c3f6d548c0a3dce6538c90c0d760772c8b974,2025,9,3595b071c999d7b7ec9deaefab66675d3456209c,e465c5d0a514e5fd4a72d66611e1fc5864ea14be,11d8c80872895da495d18bf88fbbb05e0c80401d,83,97,-14,11d8c80872895da495d18bf88fbbb05e0c80401d,2025-05-08 12:10:00+00:00,12,11,15,7,final,squiggle,"{""unixtime"": 1746699000, ""tz"": ""+10:00"", ""venue"": ""Perth Stadium"", ""ateam"": ""Collingwood"", ""timestr"": ""Full Time"", ""agoals"": 15, ""ascore"": 97, ""hteamid"": 6, ""is_grand_final"": 0, ""updated"": ""2025-05-08 22:48:52"", ""localtime"": ""2025-05-08 18:10:00"", ""year"": 2025, ""abehinds"": 7, ""round"": 9, ""hbehinds"": 11, ""date"": ""2025-05-08 20:10:00"", ""winner"": ""Collingwood"", ""hgoals"": 12, ""complete"": 100, ""hscore"": 83, ""ateamid"": 4, ""winnerteamid"": 4, ""is_final"": 0, ""roundname"": ""Round 9"", ""hteam"": ""Fremantle"", ""id"": 37162}"
6eb96e383929e393ef1daf2c258d90b25479ff2c,2025,9,1bdab4bb3bf17d9ac3b691a00d99748af968a9a5,bc828245c366e0e16df80bc9712309c84dc81e44,885411cc009ad10721805983e9252b858933c57f,62,77,-15,885411cc009ad10721805983e9252b858933c57f,2025-05-09 11:40:00+00:00,9,8,11,11,final,squiggle,"{""unixtime"": 1746783600, ""tz"": ""+10:00"", ""ateam"": ""Carlton"", ""venue"": ""M.C.G."", ""timestr"": ""Full Time"", ""ascore"": 77, ""hteamid"": 15, ""agoals"": 11, ""is_grand_final"": 0, ""updated"": ""2025-05-09 22:22:44"", ""year"": 2025, ""localtime"": ""2025-05-09 19:40:00"", ""abehinds"": 11, ""round"": 9, ""hbehinds"": 8, ""date"": ""2025-05-09 19:40:00"", ""winner"": ""Carlton"", ""hgoals"": 9, ""hscore"": 62, ""complete"": 100, ""winnerteamid"": 3, ""ateamid"": 3, ""is_final"": 0, ""roundname"": ""Round 9"", ""hteam"": ""St Kilda"", ""id"": 37163}"
d5507db581cd86066d69b893f6f41c2aca050843,2025,9,1bdab4bb3bf17d9ac3b691a00d99748af968a9a5,45cdce34c38f3fd09b23649cd037064faedc6a88,a2c5affbc27b18d5286ceabdddbf32062c7bffb8,56,91,-35,a2c5affbc27b18d5286ceabdddbf32062c7bffb8,2025-05-10 05:20:00+00:00,7,14,13,13,final,squiggle,"{""unixtime"": 1746847200, ""tz"": ""+10:00"", ""ateam"": ""Hawthorn"", ""venue"": ""M.C.G."", ""hteamid"": 11, ""ascore"": 91, ""agoals"": 13, ""timestr"": ""Full Time"", ""is_grand_final"": 0, ""abehinds"": 13, ""round"": 9, ""updated"": ""2025-05-10 15:54:22"", ""year"": 2025, ""localtime"": ""2025-05-10 13:20:00"", ""hbehinds"": 14, ""date"": ""2025-05-10 13:20:00"", ""winnerteamid"": 10, ""hscore"": 56, ""hgoals"": 7, ""complete"": 100, ""ateamid"": 10, ""is_final"": 0, ""winner"": ""Hawthorn"", ""hteam"": ""Melbourne"", ""id"": 37164, ""roundname"": ""Round 9""}"
3923b5c3ec3422269562e869aa103f79f86b82e5,2025,9,deebe0ef10d4a80d665720bce769943cce82971c,732a1c61f9bbd47623444363b2e82845c845c811,83c3f86ca221e4004e754e25ae59e8df6b99e83d,71,63,8,732a1c61f9bbd47623444363b2e82845c845c811,2025-05-10 08:15:00+00:00,11,5,8,15,final,squiggle,"{""unixtime"": 1746857700, ""tz"": ""+10:00"", ""venue"": ""Docklands"", ""ateam"": ""Sydney"", ""timestr"": ""Full Time"", ""agoals"": 8, ""hteamid"": 5, ""ascore"": 63, ""is_grand_final"": 0, ""updated"": ""2025-05-10 18:48:39"", ""localtime"": ""2025-05-10 16:15:00"", ""year"": 2025, ""abehinds"": 15, ""round"": 9, ""hbehinds"": 5, ""date"": ""2025-05-10 16:15:00"", ""winner"": ""Essendon"", ""complete"": 100, ""hscore"": 71, ""ateamid"": 16, ""hgoals"": 11, ""winnerteamid"": 5, ""is_final"": 0, ""roundname"": ""Round 9"", ""hteam"": ""Essendon"", ""id"": 37165}"
7547038f3cfa0976fb33b52806d7136f63aeca24,2025,9,bd211b355447c73fa0ef066df3bc97a74df45f4a,abac2d055027ccf9b2cb30e03eb9bfa38e561ba7,7764d164ac71f3984bee8354c521de286e386353,106,96,10,abac2d055027ccf9b2cb30e03eb9bfa38e561ba7,2025-05-10 11:35:00+00:00,15,16,14,12,final,squiggle,"{""venue"": ""Marrara Oval"", ""ateam"": ""Western Bulldogs"", ""unixtime"": 1746869700, ""tz"": ""+10:00"", ""agoals"": 14, ""ascore"": 96, ""hteamid"": 8, ""timestr"": ""Full Time"", ""is_grand_final"": 0, ""round"": 9, ""abehinds"": 12, ""localtime"": ""2025-05-10 19:05:00"", ""year"": 2025, ""updated"": ""2025-05-10 22:19:29"", ""hbehinds"": 16, ""date"": ""2025-05-10 19:35:00"", ""is_final"": 0, ""hgoals"": 15, ""winnerteamid"": 8, ""hscore"": 106, ""complete"": 100, ""ateamid"": 18, ""winner"": ""Gold Coast"", ""id"": 37166, ""hteam"": ""Gold Coast"", ""roundname"": ""Round 9""}"
49e851794c1af494774b8baba29b0940983db178,2025,9,6c30951b060d107f0f225a775557b30f5c432160,7b2faab8d0c9a9f36af890c8408ef89e52342cbb,f36abca66a42f91ede6e6949520fc052c92c8a17,84,89,-5,f36abca66a42f91ede6e6949520fc052c92c8a17,2025-05-10 12:10:00+00:00,12,12,13,11,final,squiggle,"{""is_grand_final"": 0, ""round"": 9, ""abehinds"": 11, ""localtime"": ""2025-05-10 19:40:00"", ""year"": 2025, ""updated"": ""2025-05-10 22:49:46"", ""ateam"": ""Adelaide"", ""venue"": ""Adelaide Oval"", ""unixtime"": 1746871800, ""tz"": ""+10:00"", ""agoals"": 13, ""ascore"": 89, ""hteamid"": 13, ""timestr"": ""Full Time"", ""is_final"": 0, ""winnerteamid"": 1, ""hscore"": 84, ""hgoals"": 12, ""ateamid"": 1, ""complete"": 100, ""winner"": ""Adelaide"", ""id"": 37167, ""hteam"": ""Port Adelaide"", ""roundname"": ""Round 9"", ""hbehinds"": 12, ""date"": ""2025-05-10 20:10:00""}"
ac8bd94c0c1a8db7157c05e38dbf20ced3aaa1e5,2025,9,1bdab4bb3bf17d9ac3b691a00d99748af968a9a5,4f819d95b714bfe034dcf3c3d0edb50d55fac635,f3a1ab34f88720a82b20b98b8479917592f81c05,81,79,2,4f819d95b714bfe034dcf3c3d0edb50d55fac635,2025-05-11 05:10:00+00:00,11,15,11,13,final,squiggle,"{""is_final"": 0, ""hgoals"": 11, ""ateamid"": 17, ""hscore"": 81, ""complete"": 100, ""winnerteamid"": 14, ""winner"": ""Richmond"", ""id"": 37168, ""hteam"": ""Richmond"", ""roundname"": ""Round 9"", ""hbehinds"": 15, ""date"": ""2025-05-11 13:10:00"", ""is_grand_final"": 0, ""round"": 9, ""abehinds"": 13, ""localtime"": ""2025-05-11 13:10:00"", ""year"": 2025, ""updated"": ""2025-05-11 15:52:10"", ""venue"": ""M.C.G."", ""ateam"": ""West Coast"", ""unixtime"": 1746933000, ""tz"": ""+10:00"", ""ascore"": 79, ""hteamid"": 14, ""agoals"": 11, ""timestr"": ""Full Time""}"
a471f29d8f171db30767bfd9be65bbd9610fb0b8,2025,9,5429bf4d0be0bb3395065807f9b5a4ed08a4e7ff,2cc7dcbdb6678bfc418545cd1e594aba97c10989,bd12ce27cae1a14a2e63829c114a863978693ead,101,105,-4,bd12ce27cae1a14a2e63829c114a863978693ead,2025-05-11 07:20:00+00:00,14,17,16,9,final,squiggle,"{""unixtime"": 1746940800, ""tz"": ""+10:00"", ""venue"": ""Kardinia Park"", ""ateam"": ""Greater Western Sydney"", ""timestr"": ""Full Time"", ""ascore"": 105, ""agoals"": 16, ""hteamid"": 7, ""is_grand_final"": 0, ""updated"": ""2025-05-11 18:02:52"", ""localtime"": ""2025-05-11 15:20:00"", ""year"": 2025, ""abehinds"": 9, ""round"": 9, ""hbehinds"": 17, ""date"": ""2025-05-11 15:20:00"", ""winner"": ""Greater Western Sydney"", ""hscore"": 101, ""hgoals"": 14, ""ateamid"": 9, ""winnerteamid"": 9, ""complete"": 100, ""is_final"": 0, ""roundname"": ""Round 9"", ""hteam"": ""Geelong"", ""id"": 37169}"
cdf2566c6832b8d595cfffddcef551242ffc01b5,2025,9,25c0afba08984038a2b02b493f355d83648caa34,e7e68af8d5c1c0b51053089afcaf81da6f4a4394,4064edbbf8a87d0b281be668cabfa76286491511,71,71,0,,2025-05-11 08:40:00+00:00,10,11,10,11,final,squiggle,"{""ateam"": ""Brisbane Lions"", ""venue"": ""Bellerive Oval"", ""unixtime"": 1746945600, ""tz"": ""+10:00"", ""timestr"": ""Full Time"", ""hteamid"": 12, ""agoals"": 10, ""ascore"": 71, ""is_grand_final"": 0, ""year"": 2025, ""localtime"": ""2025-05-11 16:40:00"", ""updated"": ""2025-05-11 19:17:24"", ""round"": 9, ""abehinds"": 11, ""hbehinds"": 11, ""date"": ""2025-05-11 16:40:00"", ""winner"": null, ""is_final"": 0, ""complete"": 100, ""hgoals"": 10, ""hscore"": 71, ""ateamid"": 2, ""winnerteamid"": null, ""roundname"": ""Round 9"", ""id"": 37170, ""hteam"": ""North Melbourne""}"
