season,round,home,away,home_score,away_score,home_goals,home_behinds,away_goals,away_behinds,venue,start_time_utc,match_id_source,source_kind,raw_payload
2025,8,Essendon,North Melbourne,65,62,9,11,9,8,Docklands,2025-05-01 11:30:00+00:00,37153,squiggle,"{""abehinds"": 8, ""round"": 8, ""updated"": ""2025-05-01 22:07:32"", ""year"": 2025, ""localtime"": ""2025-05-01 19:30:00"", ""is_grand_final"": 0, ""agoals"": 9, ""hteamid"": 5, ""ascore"": 62, ""timestr"": ""Full Time"", ""tz"": ""+10:00"", ""unixtime"": 1746091800, ""ateam"": ""North Melbourne"", ""venue"": ""Docklands"", ""hteam"": ""Essendon"", ""id"": 37153, ""roundname"": ""Round 8"", ""hscore"": 65, ""winnerteamid"": 5, ""hgoals"": 9, ""complete"": 100, ""ateamid"": 12, ""is_final"": 0, ""winner"": ""Essendon"", ""date"": ""2025-05-01 19:30:00"", ""hbehinds"": 11}"
2025,8,St Kilda,Fremantle,94,33,14,10,5,3,Docklands,2025-05-02 11:40:00+00:00,37154,squiggle,"{""date"": ""2025-05-02 19:40:00"", ""hbehinds"": 10, ""roundname"": ""Round 8"", ""id"": 37154, ""hteam"": ""St Kilda"", ""winner"": ""St Kilda"", ""is_final"": 0, ""ateamid"": 6, ""hscore"": 94, ""hgoals"": 14, ""complete"": 100, ""winnerteamid"": 15, ""timestr"": ""Full Time"", ""hteamid"": 15, ""agoals"": 5, ""ascore"": 33, ""ateam"": ""Fremantle"", ""venue"": ""Docklands"", ""tz"": ""+10:00"", ""unixtime"": 1746178800, ""year"": 2025, ""localtime"": ""2025-05-02 19:40:00"", ""updated"": ""2025-05-02 22:14:28"", ""round"": 8, ""abehinds"": 3, ""is_grand_final"": 0}"
2025,8,Western Bulldogs,Port Adelaide,131,41,20,11,5,11,Eureka Stadium,2025-05-03 05:20:00+00:00,37155,squiggle,"{""updated"": ""2025-05-03 16:04:12"", ""localtime"": ""2025-05-03 13:20:00"", ""year"": 2025, ""abehinds"": 11, ""round"": 8, ""is_grand_final"": 0, ""timestr"": ""Full Time"", ""agoals"": 5, ""hteamid"": 18, ""ascore"": 41, ""unixtime"": 1746242400, ""tz"": ""+10:00"", ""venue"": ""Eureka Stadium"", ""ateam"": ""Port Adelaide"", ""roundname"": ""Round 8"", ""hteam"": ""Western Bulldogs"", ""id"": 37155, ""winner"": ""Western Bulldogs"", ""hscore"": 131, ""winnerteamid"": 18, ""hgoals"": 20, ""ateamid"": 13, ""complete"": 100, ""is_final"": 0, ""date"": ""2025-05-03 13:20:00"", ""hbehinds"": 11}"
2025,8,Adelaide,Carlton,110,50,16,14,7,8,Adelaide Oval,2025-05-03 08:15:00+00:00,37156,squiggle,"{""tz"": ""+10:00"", ""unixtime"": 1746252900, ""venue"": ""Adelaide Oval"", ""ateam"": ""Carlton"", ""hteamid"": 1, ""ascore"": 50, ""agoals"": 7, ""timestr"": ""Full Time"", ""is_grand_final"": 0, ""abehinds"": 8, ""round"": 8, ""updated"": ""2025-05-03 18:52:31"", ""localtime"": ""2025-05-03 15:45:00"", ""year"": 2025, ""hbehinds"": 14, ""date"": ""2025-05-03 16:15:00"", ""hscore"": 110, ""ateamid"": 3, ""complete"": 100, ""hgoals"": 16, ""winnerteamid"": 1, ""is_final"": 0, ""winner"": ""Adelaide"", ""hteam"": ""Adelaide"", ""id"": 37156, ""roundname"": ""Round 8""}"
2025,8,Collingwood,Geelong,87,90,12,15,13,12,M.C.G.,2025-05-03 11:35:00+00:00,37157,squiggle,"{""winner"": ""Geelong"", ""is_final"": 0, ""hgoals"": 12, ""hscore"": 87, ""winnerteamid"": 7, ""complete"": 100, ""ateamid"": 7, ""roundname"": ""Round 8"", ""id"": 37157, ""hteam"": ""Collingwood"", ""hbehinds"": 15, ""date"": ""2025-05-03 19:35:00"", ""is_grand_final"": 0, ""year"": 2025, ""localtime"": ""2025-05-03 19:35:00"", ""updated"": ""2025-05-03 22:18:59"", ""round"": 8, ""abehinds"": 12, ""ateam"": ""Geelong"", ""venue"": ""M.C.G."", ""unixtime"": 1746264900, ""tz"": ""+10:00"", ""timestr"": ""Full Time"", ""ascore"": 90, ""agoals"": 13, ""hteamid"": 4}"
2025,8,West Coast,Melbourne,76,108,11,10,16,12,Perth Stadium,2025-05-03 11:35:00+00:00,37158,squiggle,"{""updated"": ""2025-05-03 22:22:39"", ""localtime"": ""2025-05-03 17:35:00"", ""year"": 2025, ""abehinds"": 12, ""round"": 8, ""is_grand_final"": 0, ""timestr"": ""Full Time"", ""hteamid"": 17, ""agoals"": 16, ""ascore"": 108, ""tz"": ""+10:00"", ""unixtime"": 1746264900, ""venue"": ""Perth Stadium"", ""ateam"": ""Melbourne"", ""roundname"": ""Round 8"", ""hteam"": ""West Coast"", ""id"": 37158, ""winner"": ""Melbourne"", ""hgoals"": 11, ""complete"": 100, ""ateamid"": 11, ""hscore"": 76, ""winnerteamid"": 11, ""is_final"": 0, ""date"": ""2025-05-03 19:35:00"", ""hbehinds"": 10}"
2025,8,Sydney,Greater Western Sydney,87,73,12,15,10,13,S.C.G.,2025-05-04 05:10:00+00:00,37159,squiggle,"{""unixtime"": 1746328200, ""tz"": ""+10:00"", ""venue"": ""S.C.G."", ""ateam"": ""Greater Western Sydney"", ""agoals"": 10, ""hteamid"": 16, ""ascore"": 73, ""timestr"": ""Full Time"", ""is_grand_final"": 0, ""abehinds"": 13, ""round"": 8, ""updated"": ""2025-05-04 15:49:53"", ""year"": 2025, ""localtime"": ""2025-05-04 13:10:00"", ""hbehinds"": 15, ""date"": ""2025-05-04 13:10:00"", ""ateamid"": 9, ""hscore"": 87, ""complete"": 100, ""hgoals"": 12, ""winnerteamid"": 16, ""is_final"": 0, ""winner"": ""Sydney"", ""hteam"": ""Sydney"", ""id"": 37159, ""roundname"": ""Round 8""}"
2025,8,Hawthorn,Richmond,109,44,16,13,6,8,M.C.G.,2025-05-04 07:20:00+00:00,37160,squiggle,"{""hteamid"": 10, ""ascore"": 44, ""agoals"": 6, ""timestr"": ""Full Time"", ""unixtime"": 1746336000, ""tz"": ""+10:00"", ""ateam"": ""Richmond"", ""venue"": ""M.C.G."", ""abehinds"": 8, ""round"": 8, ""updated"": ""2025-05-04 17:53:42"", ""localtime"": ""2025-05-04 15:20:00"", ""year"": 2025, ""is_grand_final"": 0, ""date"": ""2025-05-04 15:20:00"", ""hbehinds"": 13, ""hteam"": ""Hawthorn"", ""id"": 37160, ""roundname"": ""Round 8"", ""hscore"": 109, ""hgoals"": 16, ""complete"": 100, ""ateamid"": 14, ""winnerteamid"": 10, ""is_final"": 0, ""winner"": ""Hawthorn""}"
2025,8,Brisbane Lions,Gold Coast,66,49,9,12,7,7,Gabba,2025-05-04 11:20:00+00:00,37161,squiggle,"{""winner"": ""Brisbane Lions"", ""is_final"": 0, ""winnerteamid"": 2, ""hgoals"": 9, ""hscore"": 66, ""complete"": 100, ""ateamid"": 8, ""roundname"": ""Round 8"", ""id"": 37161, ""hteam"": ""Brisbane Lions"", ""hbehinds"": 12, ""date"": ""2025-05-04 19:20:00"", ""is_grand_final"": 0, ""year"": 2025, ""localtime"": ""2025-05-04 19:20:00"", ""updated"": ""2025-05-04 21:52:34"", ""round"": 8, ""abehinds"": 7, ""venue"": ""Gabba"", ""ateam"": ""Gold Coast"", ""unixtime"": 1746350400, ""tz"": ""+10:00"", ""timestr"": ""Full Time"", ""agoals"": 7, ""ascore"": 49, ""hteamid"": 2}"
