season,round,home,away,home_score,away_score,home_goals,home_behinds,away_goals,away_behinds,venue,start_time_utc,match_id_source,source_kind,raw_payload
2025,1,Richmond,Carlton,82,69,13,4,9,15,M.C.G.,2025-03-13 11:30:00+00:00,37094,squiggle,"{""roundname"": ""Round 1"", ""id"": 37094, ""hteam"": ""Richmond"", ""winner"": ""Richmond"", ""is_final"": 0, ""winnerteamid"": 14, ""hgoals"": 13, ""hscore"": 82, ""ateamid"": 3, ""complete"": 100, ""date"": ""2025-03-13 19:30:00"", ""hbehinds"": 4, ""year"": 2025, ""localtime"": ""2025-03-13 19:30:00"", ""updated"": ""2025-03-13 22:18:31"", ""round"": 1, ""abehinds"": 15, ""is_grand_final"": 0, ""timestr"": ""Full Time"", ""ascore"": 69, ""agoals"": 9, ""hteamid"": 14, ""ateam"": ""Carlton"", ""venue"": ""M.C.G."", ""tz"": ""+11:00"", ""unixtime"": 1741854600}"
2025,1,Hawthorn,Essendon,111,85,17,9,12,13,M.C.G.,2025-03-14 11:40:00+00:00,37095,squiggle,"{""ascore"": 85, ""hteamid"": 10, ""agoals"": 12, ""timestr"": ""Full Time"", ""tz"": ""+11:00"", ""unixtime"": 1741941600, ""ateam"": ""Essendon"", ""venue"": ""M.C.G."", ""abehinds"": 13, ""round"": 1, ""updated"": ""2025-03-14 22:25:05"", ""localtime"": ""2025-03-14 19:40:00"", ""year"": 2025, ""is_grand_final"": 0, ""date"": ""2025-03-14 19:40:00"", ""hbehinds"": 9, ""hteam"": ""Hawthorn"", ""id"": 37095, ""roundname"": ""Round 1"", ""winnerteamid"": 10, ""hgoals"": 17, ""hscore"": 111, ""ateamid"": 5, ""complete"": 100, ""is_final"": 0, ""winner"": ""Hawthorn""}"
2025,1,Geelong,Fremantle,147,69,23,9,10,9,Kardinia Park,2025-03-15 05:20:00+00:00,37096,squiggle,"{""date"": ""2025-03-15 13:20:00"", ""hbehinds"": 9, ""roundname"": ""Round 1"", ""id"": 37096, ""hteam"": ""Geelong"", ""winner"": ""Geelong"", ""is_final"": 0, ""hscore"": 147, ""complete"": 100, ""hgoals"": 23, ""ateamid"": 6, ""winnerteamid"": 7, ""timestr"": ""Full Time"", ""hteamid"": 7, ""agoals"": 10, ""ascore"": 69, ""ateam"": ""Fremantle"", ""venue"": ""Kardinia Park"", ""tz"": ""+11:00"", ""unixtime"": 1742005200, ""localtime"": ""2025-03-15 13:20:00"", ""year"": 2025, ""updated"": ""2025-03-15 16:12:40"", ""round"": 1, ""abehinds"": 9, ""is_grand_final"": 0}"
2025,1,Sydney,Brisbane Lions,82,86,12,10,12,14,S.C.G.,2025-03-15 08:15:00+00:00,37097,squiggle,"{""timestr"": ""Full Time"", ""hteamid"": 16, ""ascore"": 86, ""agoals"": 12, ""unixtime"": 1742015700, ""tz"": ""+11:00"", ""venue"": ""S.C.G."", ""ateam"": ""Brisbane Lions"", ""updated"": ""2025-03-15 19:07:07"", ""localtime"": ""2025-03-15 16:15:00"", ""year"": 2025, ""abehinds"": 14, ""round"": 1, ""is_grand_final"": 0, ""date"": ""2025-03-15 16:15:00"", ""hbehinds"": 10, ""roundname"": ""Round 1"", ""hteam"": ""Sydney"", ""id"": 37097, ""winner"": ""Brisbane Lions"", ""ateamid"": 2, ""hgoals"": 12, ""complete"": 100, ""hscore"": 82, ""winnerteamid"": 2, ""is_final"": 0}"
2025,1,Collingwood,Port Adelaide,136,45,21,10,6,9,M.C.G.,2025-03-15 11:35:00+00:00,37099,squiggle,"{""ascore"": 45, ""hteamid"": 4, ""agoals"": 6, ""timestr"": ""Full Time"", ""ateam"": ""Port Adelaide"", ""venue"": ""M.C.G."", ""unixtime"": 1742027700, ""tz"": ""+11:00"", ""round"": 1, ""abehinds"": 9, ""localtime"": ""2025-03-15 19:35:00"", ""year"": 2025, ""updated"": ""2025-03-15 22:20:37"", ""is_grand_final"": 0, ""date"": ""2025-03-15 19:35:00"", ""hbehinds"": 10, ""id"": 37099, ""hteam"": ""Collingwood"", ""roundname"": ""Round 1"", ""is_final"": 0, ""ateamid"": 13, ""hgoals"": 21, ""complete"": 100, ""hscore"": 136, ""winnerteamid"": 4, ""winner"": ""Collingwood""}"
2025,1,Western Bulldogs,North Melbourne,113,97,17,11,14,13,Docklands,2025-03-15 11:35:00+00:00,37098,squiggle,"{""hbehinds"": 11, ""date"": ""2025-03-15 19:35:00"", ""hgoals"": 17, ""complete"": 100, ""hscore"": 113, ""winnerteamid"": 18, ""ateamid"": 12, ""is_final"": 0, ""winner"": ""Western Bulldogs"", ""hteam"": ""Western Bulldogs"", ""id"": 37098, ""roundname"": ""Round 1"", ""tz"": ""+11:00"", ""unixtime"": 1742027700, ""venue"": ""Docklands"", ""ateam"": ""North Melbourne"", ""agoals"": 14, ""hteamid"": 18, ""ascore"": 97, ""timestr"": ""Full Time"", ""is_grand_final"": 0, ""abehinds"": 13, ""round"": 1, ""updated"": ""2025-03-15 22:27:17"", ""localtime"": ""2025-03-15 19:35:00"", ""year"": 2025}"
2025,1,Adelaide,St Kilda,135,72,21,9,10,12,Adelaide Oval,2025-03-16 04:35:00+00:00,37100,squiggle,"{""hteamid"": 1, ""agoals"": 10, ""ascore"": 72, ""timestr"": ""Full Time"", ""venue"": ""Adelaide Oval"", ""ateam"": ""St Kilda"", ""unixtime"": 1742088900, ""tz"": ""+11:00"", ""round"": 1, ""abehinds"": 12, ""year"": 2025, ""localtime"": ""2025-03-16 12:05:00"", ""updated"": ""2025-03-16 15:19:47"", ""is_grand_final"": 0, ""date"": ""2025-03-16 12:35:00"", ""hbehinds"": 9, ""id"": 37100, ""hteam"": ""Adelaide"", ""roundname"": ""Round 1"", ""is_final"": 0, ""hgoals"": 21, ""hscore"": 135, ""winnerteamid"": 1, ""complete"": 100, ""ateamid"": 15, ""winner"": ""Adelaide""}"
2025,1,Melbourne,Greater Western Sydney,74,77,11,8,11,11,M.C.G.,2025-03-16 07:20:00+00:00,37101,squiggle,"{""year"": 2025, ""localtime"": ""2025-03-16 15:20:00"", ""updated"": ""2025-03-16 18:06:50"", ""round"": 1, ""abehinds"": 11, ""is_grand_final"": 0, ""timestr"": ""Full Time"", ""ascore"": 77, ""agoals"": 11, ""hteamid"": 11, ""ateam"": ""Greater Western Sydney"", ""venue"": ""M.C.G."", ""tz"": ""+11:00"", ""unixtime"": 1742098800, ""roundname"": ""Round 1"", ""id"": 37101, ""hteam"": ""Melbourne"", ""winner"": ""Greater Western Sydney"", ""is_final"": 0, ""hgoals"": 11, ""hscore"": 74, ""ateamid"": 9, ""complete"": 100, ""winnerteamid"": 9, ""date"": ""2025-03-16 15:20:00"", ""hbehinds"": 8}"
2025,1,West Coast,Gold Coast,49,136,7,7,20,16,Perth Stadium,2025-03-16 10:10:00+00:00,37102,squiggle,"{""hbehinds"": 7, ""date"": ""2025-03-16 18:10:00"", ""is_final"": 0, ""hscore"": 49, ""winnerteamid"": 8, ""complete"": 100, ""ateamid"": 8, ""hgoals"": 7, ""winner"": ""Gold Coast"", ""id"": 37102, ""hteam"": ""West Coast"", ""roundname"": ""Round 1"", ""ateam"": ""Gold Coast"", ""venue"": ""Perth Stadium"", ""unixtime"": 1742109000, ""tz"": ""+11:00"", ""hteamid"": 17, ""agoals"": 20, ""ascore"": 136, ""timestr"": ""Full Time"", ""is_grand_final"": 0, ""round"": 1, ""abehinds"": 16, ""localtime"": ""2025-03-16 15:10:00"", ""year"": 2025, ""updated"": ""2025-03-16 20:54:22""}"
