game_key,season,round,venue_id,home_team_id,away_team_id,home_score,away_score,margin,winner_team_id,start_time_utc,home_goals,home_behinds,away_goals,away_behinds,status,source_kind,payload_json
67a20d909f807aba5ac04b4c837c30aa883b9a4f,2025,19,deebe0ef10d4a80d665720bce769943cce82971c,732a1c61f9bbd47623444363b2e82845c845c811,bd12ce27cae1a14a2e63829c114a863978693ead,56,104,-48,bd12ce27cae1a14a2e63829c114a863978693ead,2025-07-17 11:30:00+00:00,7,14,16,8,final,squiggle,"{""hbehinds"": 14, ""date"": ""2025-07-17 19:30:00"", ""complete"": 100, ""hgoals"": 7, ""ateamid"": 9, ""winnerteamid"": 9, ""hscore"": 56, ""is_final"": 0, ""winner"": ""Greater Western Sydney"", ""hteam"": ""Essendon"", ""id"": 37244, ""roundname"": ""Round 19"", ""tz"": ""+10:00"", ""unixtime"": 1752744600, ""venue"": ""Docklands"", ""ateam"": ""Greater Western Sydney"", ""hteamid"": 5, ""agoals"": 16, ""ascore"": 104, ""timestr"": ""Full Time"", ""is_grand_final"": 0, ""abehinds"": 8, ""round"": 19, ""updated"": ""2025-07-17 22:08:09"", ""year"": 2025, ""localtime"": ""2025-07-17 19:30:00""}"
b85c06e36d3efb3419975c08aa1fb26aafb467b5,2025,19,5075cf5b38e98aa676bdcd5c266f56aa9da273bc,4064edbbf8a87d0b281be668cabfa76286491511,7764d164ac71f3984bee8354c521de286e386353,86,76,10,4064edbbf8a87d0b281be668cabfa76286491511,2025-07-18 11:40:00+00:00,12,14,12,4,final,squiggle,"{""round"": 19, ""abehinds"": 4, ""year"": 2025, ""localtime"": ""2025-07-18 19:40:00"", ""updated"": ""2025-07-18 22:22:12"", ""is_grand_final"": 0, ""agoals"": 12, ""ascore"": 76, ""hteamid"": 2, ""timestr"": ""Full Time"", ""venue"": ""Gabba"", ""ateam"": ""Western Bulldogs"", ""tz"": ""+10:00"", ""unixtime"": 1752831600, ""id"": 37248, ""hteam"": ""Brisbane Lions"", ""roundname"": ""Round 19"", ""is_final"": 0, ""complete"": 100, ""hscore"": 86, ""winnerteamid"": 2, ""hgoals"": 12, ""ateamid"": 18, ""winner"": ""Brisbane Lions"", ""date"": ""2025-07-18 19:40:00"", ""hbehinds"": 14}"
934659fd3c7fd4256409a437daaefcec2ad0ddf2,2025,19,620c7bc6e2c3f92ff442c6f5003f0ef1a625f8a7,a2c5affbc27b18d5286ceabdddbf32062c7bffb8,7b2faab8d0c9a9f36af890c8408ef89e52342cbb,87,49,38,a2c5affbc27b18d5286ceabdddbf32062c7bffb8,2025-07-19 05:20:00+00:00,13,9,7,7,final,squiggle,"{""is_final"": 0, ""hscore"": 87, ""hgoals"": 13, ""complete"": 100, ""ateamid"": 13, ""winnerteamid"": 10, ""winner"": ""Hawthorn"", ""id"": 37249, ""hteam"": ""Hawthorn"", ""roundname"": ""Round 19"", ""hbehinds"": 9, ""date"": ""2025-07-19 13:20:00"", ""is_grand_final"": 0, ""round"": 19, ""abehinds"": 7, ""localtime"": ""2025-07-19 13:20:00"", ""year"": 2025, ""updated"": ""2025-07-19 15:59:48"", ""ateam"": ""Port Adelaide"", ""venue"": ""York Park"", ""tz"": ""+10:00"", ""unixtime"": 1752895200, ""agoals"": 7, ""ascore"": 49, ""hteamid"": 10, ""timestr"": ""Full Time""}"
8280d6cb4fc928566135010c36f8827484007405,2025,19,ae26a0a15010b7263bcc808360543a19ebb9157c,83c3f86ca221e4004e754e25ae59e8df6b99e83d,e7e68af8d5c1c0b51053089afcaf81da6f4a4394,84,53,31,83c3f86ca221e4004e754e25ae59e8df6b99e83d,2025-07-19 08:15:00+00:00,12,12,7,11,final,squiggle,"{""is_grand_final"": 0, ""abehinds"": 11, ""round"": 19, ""updated"": ""2025-07-19 18:56:35"", ""localtime"": ""2025-07-19 16:15:00"", ""year"": 2025, ""unixtime"": 1752905700, ""tz"": ""+10:00"", ""ateam"": ""North Melbourne"", ""venue"": ""S.C.G."", ""agoals"": 7, ""ascore"": 53, ""hteamid"": 16, ""timestr"": ""Full Time"", ""complete"": 100, ""hgoals"": 12, ""hscore"": 84, ""ateamid"": 12, ""winnerteamid"": 16, ""is_final"": 0, ""winner"": ""Sydney"", ""hteam"": ""Sydney"", ""id"": 37247, ""roundname"": ""Round 19"", ""hbehinds"": 12, ""date"": ""2025-07-19 16:15:00""}"
3b5fb1e501265ef930c300add6d3cfaeeb7e8e26,2025,19,1bdab4bb3bf17d9ac3b691a00d99748af968a9a5,885411cc009ad10721805983e9252b858933c57f,45cdce34c38f3fd09b23649cd037064faedc6a88,78,70,8,885411cc009ad10721805983e9252b858933c57f,2025-07-19 11:35:00+00:00,12,6,10,10,final,squiggle,"{""winner"": ""Carlton"", ""hscore"": 78, ""hgoals"": 12, ""complete"": 100, ""ateamid"": 11, ""winnerteamid"": 3, ""is_final"": 0, ""roundname"": ""Round 19"", ""hteam"": ""Carlton"", ""id"": 37245, ""hbehinds"": 6, ""date"": ""2025-07-19 19:35:00"", ""is_grand_final"": 0, ""updated"": ""2025-07-19 22:14:12"", ""year"": 2025, ""localtime"": ""2025-07-19 19:35:00"", ""abehinds"": 10, ""round"": 19, ""tz"": ""+10:00"", ""unixtime"": 1752917700, ""ateam"": ""Melbourne"", ""venue"": ""M.C.G."", ""timestr"": ""Full Time"", ""ascore"": 70, ""hteamid"": 3, ""agoals"": 10}"
ad2e9c5cb1b4e64b677fdce993d04ff9216b4103,2025,19,3595b071c999d7b7ec9deaefab66675d3456209c,f3a1ab34f88720a82b20b98b8479917592f81c05,4f819d95b714bfe034dcf3c3d0edb50d55fac635,56,105,-49,4f819d95b714bfe034dcf3c3d0edb50d55fac635,2025-07-19 12:10:00+00:00,8,8,16,9,final,squiggle,"{""is_grand_final"": 0, ""round"": 19, ""abehinds"": 9, ""localtime"": ""2025-07-19 18:10:00"", ""year"": 2025, ""updated"": ""2025-07-19 22:46:07"", ""ateam"": ""Richmond"", ""venue"": ""Perth Stadium"", ""unixtime"": 1752919800, ""tz"": ""+10:00"", ""agoals"": 16, ""ascore"": 105, ""hteamid"": 17, ""timestr"": ""Full Time"", ""is_final"": 0, ""hscore"": 56, ""complete"": 100, ""winnerteamid"": 14, ""ateamid"": 14, ""hgoals"": 8, ""winner"": ""Richmond"", ""id"": 37251, ""hteam"": ""West Coast"", ""roundname"": ""Round 19"", ""hbehinds"": 8, ""date"": ""2025-07-19 20:10:00""}"
6d94c5b4b73464cfe476cb77f281608bcf633f7b,2025,19,5429bf4d0be0bb3395065807f9b5a4ed08a4e7ff,2cc7dcbdb6678bfc418545cd1e594aba97c10989,bc828245c366e0e16df80bc9712309c84dc81e44,113,82,31,2cc7dcbdb6678bfc418545cd1e594aba97c10989,2025-07-20 05:10:00+00:00,17,11,12,10,final,squiggle,"{""tz"": ""+10:00"", ""unixtime"": 1752981000, ""ateam"": ""St Kilda"", ""venue"": ""Kardinia Park"", ""timestr"": ""Full Time"", ""ascore"": 82, ""hteamid"": 7, ""agoals"": 12, ""is_grand_final"": 0, ""updated"": ""2025-07-20 15:57:50"", ""localtime"": ""2025-07-20 13:10:00"", ""year"": 2025, ""abehinds"": 10, ""round"": 19, ""hbehinds"": 11, ""date"": ""2025-07-20 13:10:00"", ""winner"": ""Geelong"", ""hscore"": 113, ""hgoals"": 17, ""complete"": 100, ""winnerteamid"": 7, ""ateamid"": 15, ""is_final"": 0, ""roundname"": ""Round 19"", ""hteam"": ""Geelong"", ""id"": 37243}"
2731e54313f56ac23766304dfe3a641d1fb9e1e6,2025,19,1bdab4bb3bf17d9ac3b691a00d99748af968a9a5,11d8c80872895da495d18bf88fbbb05e0c80401d,e465c5d0a514e5fd4a72d66611e1fc5864ea14be,78,79,-1,e465c5d0a514e5fd4a72d66611e1fc5864ea14be,2025-07-20 07:15:00+00:00,11,12,12,7,final,squiggle,"{""tz"": ""+10:00"", ""unixtime"": 1752988500, ""ateam"": ""Fremantle"", ""venue"": ""M.C.G."", ""timestr"": ""Full Time"", ""hteamid"": 4, ""ascore"": 79, ""agoals"": 12, ""is_grand_final"": 0, ""updated"": ""2025-07-20 17:57:06"", ""year"": 2025, ""localtime"": ""2025-07-20 15:15:00"", ""abehinds"": 7, ""round"": 19, ""hbehinds"": 12, ""date"": ""2025-07-20 15:15:00"", ""winner"": ""Fremantle"", ""hgoals"": 11, ""hscore"": 78, ""ateamid"": 6, ""winnerteamid"": 6, ""complete"": 100, ""is_final"": 0, ""roundname"": ""Round 19"", ""hteam"": ""Collingwood"", ""id"": 37246}"
0c6bd8a494b8b00f996933065bcca57530a39768,2025,19,6c30951b060d107f0f225a775557b30f5c432160,f36abca66a42f91ede6e6949520fc052c92c8a17,abac2d055027ccf9b2cb30e03eb9bfa38e561ba7,107,46,61,f36abca66a42f91ede6e6949520fc052c92c8a17,2025-07-20 08:40:00+00:00,16,11,6,10,final,squiggle,"{""hbehinds"": 11, ""date"": ""2025-07-20 16:40:00"", ""winner"": ""Adelaide"", ""is_final"": 0, ""hgoals"": 16, ""ateamid"": 8, ""hscore"": 107, ""complete"": 100, ""winnerteamid"": 1, ""roundname"": ""Round 19"", ""id"": 37250, ""hteam"": ""Adelaide"", ""venue"": ""Adelaide Oval"", ""ateam"": ""Gold Coast"", ""unixtime"": 1752993600, ""tz"": ""+10:00"", ""timestr"": ""Full Time"", ""agoals"": 6, ""hteamid"": 1, ""ascore"": 46, ""is_grand_final"": 0, ""localtime"": ""2025-07-20 16:10:00"", ""year"": 2025, ""updated"": ""2025-07-20 19:22:57"", ""round"": 19, ""abehinds"": 10}"
