season,round,home,away,home_score,away_score,home_goals,home_behinds,away_goals,away_behinds,venue,start_time_utc,match_id_source,source_kind,raw_payload
2025,15,Fremantle,Essendon,104,63,16,8,9,9,Perth Stadium,2025-06-19 12:10:00+00:00,37211,squiggle,"{""date"": ""2025-06-19 20:10:00"", ""hbehinds"": 8, ""roundname"": ""Round 15"", ""id"": 37211, ""hteam"": ""Fremantle"", ""winner"": ""Fremantle"", ""is_final"": 0, ""hgoals"": 16, ""hscore"": 104, ""complete"": 100, ""ateamid"": 5, ""winnerteamid"": 6, ""timestr"": ""Full Time"", ""ascore"": 63, ""hteamid"": 6, ""agoals"": 9, ""venue"": ""Perth Stadium"", ""ateam"": ""Essendon"", ""tz"": ""+10:00"", ""unixtime"": 1750327800, ""year"": 2025, ""localtime"": ""2025-06-19 18:10:00"", ""updated"": ""2025-06-19 22:49:02"", ""round"": 15, ""abehinds"": 9, ""is_grand_final"": 0}"
2025,15,Geelong,Brisbane Lions,51,92,6,15,14,8,Kardinia Park,2025-06-20 11:40:00+00:00,37212,squiggle,"{""timestr"": ""Full Time"", ""hteamid"": 7, ""ascore"": 92, ""agoals"": 14, ""ateam"": ""Brisbane Lions"", ""venue"": ""Kardinia Park"", ""tz"": ""+10:00"", ""unixtime"": 1750412400, ""localtime"": ""2025-06-20 19:40:00"", ""year"": 2025, ""updated"": ""2025-06-20 22:18:55"", ""round"": 15, ""abehinds"": 8, ""is_grand_final"": 0, ""date"": ""2025-06-20 19:40:00"", ""hbehinds"": 15, ""roundname"": ""Round 15"", ""id"": 37212, ""hteam"": ""Geelong"", ""winner"": ""Brisbane Lions"", ""is_final"": 0, ""hgoals"": 6, ""hscore"": 51, ""ateamid"": 2, ""complete"": 100, ""winnerteamid"": 2}"
2025,15,Carlton,North Melbourne,73,84,10,13,13,6,M.C.G.,2025-06-21 05:20:00+00:00,37213,squiggle,"{""hscore"": 73, ""hgoals"": 10, ""ateamid"": 12, ""winnerteamid"": 12, ""complete"": 100, ""is_final"": 0, ""winner"": ""North Melbourne"", ""hteam"": ""Carlton"", ""id"": 37213, ""roundname"": ""Round 15"", ""hbehinds"": 13, ""date"": ""2025-06-21 13:20:00"", ""is_grand_final"": 0, ""abehinds"": 6, ""round"": 15, ""updated"": ""2025-06-21 16:00:34"", ""localtime"": ""2025-06-21 13:20:00"", ""year"": 2025, ""unixtime"": 1750476000, ""tz"": ""+10:00"", ""ateam"": ""North Melbourne"", ""venue"": ""M.C.G."", ""agoals"": 13, ""hteamid"": 3, ""ascore"": 84, ""timestr"": ""Full Time""}"
2025,15,Port Adelaide,Sydney,52,71,7,10,9,17,Adelaide Oval,2025-06-21 08:15:00+00:00,37214,squiggle,"{""venue"": ""Adelaide Oval"", ""ateam"": ""Sydney"", ""unixtime"": 1750486500, ""tz"": ""+10:00"", ""timestr"": ""Full Time"", ""ascore"": 71, ""hteamid"": 13, ""agoals"": 9, ""is_grand_final"": 0, ""year"": 2025, ""localtime"": ""2025-06-21 15:45:00"", ""updated"": ""2025-06-21 18:46:36"", ""round"": 15, ""abehinds"": 17, ""hbehinds"": 10, ""date"": ""2025-06-21 16:15:00"", ""winner"": ""Sydney"", ""is_final"": 0, ""hscore"": 52, ""complete"": 100, ""hgoals"": 7, ""ateamid"": 16, ""winnerteamid"": 16, ""roundname"": ""Round 15"", ""id"": 37214, ""hteam"": ""Port Adelaide""}"
2025,15,Collingwood,St Kilda,108,74,16,12,11,8,Docklands,2025-06-21 11:35:00+00:00,37215,squiggle,"{""winner"": ""Collingwood"", ""is_final"": 0, ""complete"": 100, ""hscore"": 108, ""winnerteamid"": 4, ""hgoals"": 16, ""ateamid"": 15, ""roundname"": ""Round 15"", ""id"": 37215, ""hteam"": ""Collingwood"", ""hbehinds"": 12, ""date"": ""2025-06-21 19:35:00"", ""is_grand_final"": 0, ""year"": 2025, ""localtime"": ""2025-06-21 19:35:00"", ""updated"": ""2025-06-21 22:15:25"", ""round"": 15, ""abehinds"": 8, ""venue"": ""Docklands"", ""ateam"": ""St Kilda"", ""tz"": ""+10:00"", ""unixtime"": 1750498500, ""timestr"": ""Full Time"", ""ascore"": 74, ""hteamid"": 4, ""agoals"": 11}"
2025,15,Greater Western Sydney,Gold Coast,106,99,16,10,14,15,Sydney Showground,2025-06-22 05:10:00+00:00,37216,squiggle,"{""is_grand_final"": 0, ""localtime"": ""2025-06-22 13:10:00"", ""year"": 2025, ""updated"": ""2025-06-22 16:01:08"", ""round"": 15, ""abehinds"": 15, ""venue"": ""Sydney Showground"", ""ateam"": ""Gold Coast"", ""tz"": ""+10:00"", ""unixtime"": 1750561800, ""timestr"": ""Full Time"", ""ascore"": 99, ""agoals"": 14, ""hteamid"": 9, ""winner"": ""Greater Western Sydney"", ""is_final"": 0, ""complete"": 100, ""hgoals"": 16, ""ateamid"": 8, ""hscore"": 106, ""winnerteamid"": 9, ""roundname"": ""Round 15"", ""id"": 37216, ""hteam"": ""Greater Western Sydney"", ""hbehinds"": 10, ""date"": ""2025-06-22 13:10:00""}"
2025,15,Western Bulldogs,Richmond,135,56,21,9,8,8,Docklands,2025-06-22 07:20:00+00:00,37217,squiggle,"{""roundname"": ""Round 15"", ""hteam"": ""Western Bulldogs"", ""id"": 37217, ""winner"": ""Western Bulldogs"", ""hscore"": 135, ""ateamid"": 14, ""complete"": 100, ""winnerteamid"": 18, ""hgoals"": 21, ""is_final"": 0, ""date"": ""2025-06-22 15:20:00"", ""hbehinds"": 9, ""updated"": ""2025-06-22 17:55:38"", ""localtime"": ""2025-06-22 15:20:00"", ""year"": 2025, ""abehinds"": 8, ""round"": 15, ""is_grand_final"": 0, ""timestr"": ""Full Time"", ""hteamid"": 18, ""ascore"": 56, ""agoals"": 8, ""tz"": ""+10:00"", ""unixtime"": 1750569600, ""venue"": ""Docklands"", ""ateam"": ""Richmond""}"
