season,round_w,venue,provider,lat,lon,tz,captured_at_utc,forecast_time_utc,game_key_w,temp_c,wind_speed_ms,wind_gust_ms,rain_prob,pressure_hpa,cloud_pct,raw_payload,round_1,season_1,venue_1,venue_norm,venue_norm_canon,venue_id,weather_time_utc,payload_json,game_key_f,round_f,scheduled_time_utc
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T13:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.3,9.21,12.2,0.25,1022.3,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 13:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T13:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 9.21, ""wind_gust_ms"": 12.2, ""rain_prob"": 0.25, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T14:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.4,9.73,12.8,0.27,1022.4,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 14:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T14:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 9.73, ""wind_gust_ms"": 12.8, ""rain_prob"": 0.27, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T15:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.7,10.1,13.5,0.28,1022.6,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 15:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T15:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 10.1, ""wind_gust_ms"": 13.5, ""rain_prob"": 0.28, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Melbourne Cricket Ground,open-meteo,-37.819954,144.983398,Australia/Melbourne,2025-08-30 06:28:27.877350+00:00,2025-09-05T03:00:00+00:00,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,8.2,0.63,2.1,0.18,1027.4,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.2503395080566406}",finals_w1,2025,Melbourne Cricket Ground,melbourne cricket ground,the mcg,vn_23749d6cd7ec,2025-09-05 03:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -37.819954, ""lon"": 144.983398, ""tz"": ""Australia/Melbourne"", ""forecast_time_utc"": ""2025-09-05T03:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""wind_speed_ms"": 0.63, ""wind_gust_ms"": 2.1, ""rain_prob"": 0.18, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Melbourne Cricket Ground""}",2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,finals_w1,2025-09-05 17:40:00+00:00
2025,finals_w1,Melbourne Cricket Ground,open-meteo,-37.819954,144.983398,Australia/Melbourne,2025-08-30 06:28:27.877350+00:00,2025-09-05T04:00:00+00:00,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,7.6,1.0,1.9,0.18,1027.3,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.2503395080566406}",finals_w1,2025,Melbourne Cricket Ground,melbourne cricket ground,the mcg,vn_23749d6cd7ec,2025-09-05 04:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -37.819954, ""lon"": 144.983398, ""tz"": ""Australia/Melbourne"", ""forecast_time_utc"": ""2025-09-05T04:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""wind_speed_ms"": 1.0, ""wind_gust_ms"": 1.9, ""rain_prob"": 0.18, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Melbourne Cricket Ground""}",2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,finals_w1,2025-09-05 17:40:00+00:00
2025,finals_w1,Melbourne Cricket Ground,open-meteo,-37.819954,144.983398,Australia/Melbourne,2025-08-30 06:28:27.877350+00:00,2025-09-05T05:00:00+00:00,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,7.0,1.1,1.9,0.18,1027.2,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.2503395080566406}",finals_w1,2025,Melbourne Cricket Ground,melbourne cricket ground,the mcg,vn_23749d6cd7ec,2025-09-05 05:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -37.819954, ""lon"": 144.983398, ""tz"": ""Australia/Melbourne"", ""forecast_time_utc"": ""2025-09-05T05:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""wind_speed_ms"": 1.1, ""wind_gust_ms"": 1.9, ""rain_prob"": 0.18, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Melbourne Cricket Ground""}",2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,finals_w1,2025-09-05 17:40:00+00:00
2025,finals_w1,Melbourne Cricket Ground,open-meteo,-37.819954,144.983398,Australia/Melbourne,2025-08-30 06:28:27.877350+00:00,2025-09-05T06:00:00+00:00,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,6.5,1.0,1.9,0.18,1027.1,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.2503395080566406}",finals_w1,2025,Melbourne Cricket Ground,melbourne cricket ground,the mcg,vn_23749d6cd7ec,2025-09-05 06:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -37.819954, ""lon"": 144.983398, ""tz"": ""Australia/Melbourne"", ""forecast_time_utc"": ""2025-09-05T06:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""wind_speed_ms"": 1.0, ""wind_gust_ms"": 1.9, ""rain_prob"": 0.18, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Melbourne Cricket Ground""}",2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,finals_w1,2025-09-05 17:40:00+00:00
2025,finals_w1,Melbourne Cricket Ground,open-meteo,-37.819954,144.983398,Australia/Melbourne,2025-08-30 06:28:27.877350+00:00,2025-09-05T07:00:00+00:00,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,6.2,1.0,1.9,0.17,1026.9,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.2503395080566406}",finals_w1,2025,Melbourne Cricket Ground,melbourne cricket ground,the mcg,vn_23749d6cd7ec,2025-09-05 07:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -37.819954, ""lon"": 144.983398, ""tz"": ""Australia/Melbourne"", ""forecast_time_utc"": ""2025-09-05T07:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""wind_speed_ms"": 1.0, ""wind_gust_ms"": 1.9, ""rain_prob"": 0.17, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Melbourne Cricket Ground""}",2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,finals_w1,2025-09-05 17:40:00+00:00
2025,finals_w1,Melbourne Cricket Ground,open-meteo,-37.819954,144.983398,Australia/Melbourne,2025-08-30 06:28:27.877350+00:00,2025-09-05T08:00:00+00:00,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,6.1,1.1,2.1,0.17,1026.5,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.2503395080566406}",finals_w1,2025,Melbourne Cricket Ground,melbourne cricket ground,the mcg,vn_23749d6cd7ec,2025-09-05 08:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -37.819954, ""lon"": 144.983398, ""tz"": ""Australia/Melbourne"", ""forecast_time_utc"": ""2025-09-05T08:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""wind_speed_ms"": 1.1, ""wind_gust_ms"": 2.1, ""rain_prob"": 0.17, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Melbourne Cricket Ground""}",2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,finals_w1,2025-09-05 17:40:00+00:00
2025,finals_w1,Melbourne Cricket Ground,open-meteo,-37.819954,144.983398,Australia/Melbourne,2025-08-30 06:28:27.877350+00:00,2025-09-05T09:00:00+00:00,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,6.3,1.12,2.4,0.16,1026.1,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.2503395080566406}",finals_w1,2025,Melbourne Cricket Ground,melbourne cricket ground,the mcg,vn_23749d6cd7ec,2025-09-05 09:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -37.819954, ""lon"": 144.983398, ""tz"": ""Australia/Melbourne"", ""forecast_time_utc"": ""2025-09-05T09:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""wind_speed_ms"": 1.12, ""wind_gust_ms"": 2.4, ""rain_prob"": 0.16, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Melbourne Cricket Ground""}",2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,finals_w1,2025-09-05 17:40:00+00:00
