season,team,player,round_label,round_num,is_finals,opponent_code,DI,KI,MK,HB,GL,BH,HO,TK,RB,I5,CL,CG,FF,FA,CP,UP,CM,MI,OP,GA
2024,Adelaide,"Berry, Sam",R2,2.0,False,GC,9.0,1.0,4.0,1.0,,,4.0,2.0,2.0,4.0,3.0,4.0,1.0,,2.0,,,,,71.0
2024,Adelaide,"Borlase, James",R2,2.0,False,GC,7.0,2.0,5.0,,,,1.0,2.0,,,1.0,2.0,1.0,,7.0,,,10.0,,95.0
2024,Adelaide,"Burgess, Chris",R2,2.0,False,GC,3.0,1.0,6.0,,,5.0,1.0,,,,2.0,,,,3.0,,1.0,1.0,,81.0
2024,Adelaide,"Butts, Jordon",R2,2.0,False,GC,5.0,1.0,5.0,,,,1.0,3.0,,,1.0,,,,5.0,,,7.0,,70.0
2024,Adelaide,"Crouch, Matt",R2,2.0,False,GC,13.0,3.0,20.0,,,,6.0,1.0,3.0,7.0,6.0,1.0,,,16.0,,,2.0,,73.0
2024,Adelaide,"Dawson, Jordan",R2,2.0,False,GC,18.0,2.0,8.0,,,,6.0,,4.0,5.0,9.0,1.0,4.0,,11.0,,,1.0,,86.0
2024,Adelaide,"Fogarty, Darcy",R2,2.0,False,GC,5.0,2.0,4.0,,,,2.0,1.0,2.0,1.0,2.0,,1.0,,3.0,,,3.0,,90.0
2024,Adelaide,"Gollant, Lachlan",R2,2.0,False,GC,1.0,1.0,2.0,,,,,1.0,,,1.0,,,,2.0,,,1.0,,46.0
2024,Adelaide,"Hinge, Mitch",R2,2.0,False,GC,14.0,4.0,5.0,,,,3.0,4.0,6.0,1.0,,,,,10.0,,,5.0,,80.0
2024,Adelaide,"Jones, Chayce",R2,2.0,False,GC,8.0,1.0,7.0,,,,2.0,2.0,3.0,,5.0,,2.0,,9.0,,,,,84.0
2024,Adelaide,"Keays, Ben",R2,2.0,False,GC,8.0,2.0,1.0,2.0,,,4.0,,6.0,,2.0,1.0,1.0,,5.0,,,2.0,,82.0
2024,Adelaide,"Laird, Rory",R2,2.0,False,GC,12.0,2.0,18.0,,2.0,,10.0,1.0,1.0,6.0,2.0,2.0,1.0,,14.0,1.0,,1.0,,74.0
2024,Adelaide,"Michalanney, Max",R2,2.0,False,GC,13.0,5.0,3.0,,,,6.0,5.0,1.0,,4.0,2.0,,,10.0,2.0,,1.0,,90.0
2024,Adelaide,"Milera, Wayne",R2,2.0,False,GC,12.0,5.0,7.0,,,,3.0,5.0,1.0,3.0,2.0,,1.0,,12.0,,,1.0,,80.0
2024,Adelaide,"Murphy, Lachlan",R2,2.0,False,GC,7.0,1.0,4.0,,,,2.0,1.0,2.0,3.0,3.0,4.0,1.0,,3.0,,,1.0,,76.0
2024,Adelaide,"OBrien, Reilly",R2,2.0,False,GC,9.0,1.0,1.0,,,45.0,3.0,,3.0,4.0,2.0,,1.0,,,1.0,,8.0,,89.0
2024,Adelaide,"Pedlar, Luke",R2,2.0,False,GC,7.0,2.0,1.0,,1.0,,1.0,,3.0,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,64.0
2024,Adelaide,"Rachele, Josh",R2,2.0,False,GC,10.0,2.0,7.0,3.0,,,3.0,,1.0,1.0,3.0,1.0,1.0,,7.0,,1.0,2.0,,76.0
2024,Adelaide,"Rankine, Izak",R2,2.0,False,GC,11.0,1.0,8.0,2.0,,,6.0,1.0,7.0,4.0,7.0,,1.0,,8.0,,1.0,2.0,1.0,94.0
2024,Adelaide,"Sholl, Lachlan",R2,2.0,False,GC,15.0,6.0,6.0,,,,2.0,1.0,3.0,1.0,4.0,,2.0,,14.0,,,3.0,,93.0
2024,Adelaide,"Smith, Brodie",R2,2.0,False,GC,16.0,2.0,4.0,,,,4.0,4.0,3.0,1.0,3.0,1.0,,,11.0,,,2.0,,75.0
2024,Adelaide,"Soligo, Jake",R2,2.0,False,GC,7.0,,1.0,,,,,2.0,2.0,,2.0,2.0,1.0,,4.0,,,1.0,,38.0
2024,Adelaide,"Worrell, Josh",R2,2.0,False,GC,10.0,3.0,12.0,,,,2.0,7.0,1.0,1.0,1.0,3.0,,,10.0,,,6.0,,95.0
2024,Adelaide,"Berry, Sam",R3,3.0,False,GE,5.0,1.0,5.0,,,,4.0,2.0,2.0,2.0,1.0,2.0,,,3.0,,,,,45.0
2024,Adelaide,"Burgess, Chris",R3,3.0,False,GE,7.0,8.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,,2.0,,1.0,,8.0,,2.0,2.0,,68.0
2024,Adelaide,"Butts, Jordon",R3,3.0,False,GE,8.0,6.0,9.0,,,,,1.0,2.0,1.0,1.0,1.0,,,9.0,1.0,1.0,5.0,,90.0
2024,Adelaide,"Crouch, Matt",R3,3.0,False,GE,13.0,4.0,24.0,,,,2.0,5.0,3.0,9.0,1.0,3.0,,1.0,23.0,1.0,,1.0,,74.0
2024,Adelaide,"Dawson, Jordan",R3,3.0,False,GE,18.0,4.0,8.0,,,,12.0,,11.0,3.0,2.0,1.0,,,19.0,2.0,,1.0,,83.0
2024,Adelaide,"Fogarty, Darcy",R3,3.0,False,GE,6.0,3.0,6.0,2.0,2.0,,4.0,,1.0,,2.0,,,,7.0,,2.0,3.0,,81.0
2024,Adelaide,"Hinge, Mitch",R3,3.0,False,GE,14.0,5.0,8.0,,,,4.0,4.0,3.0,1.0,4.0,1.0,,,11.0,,,5.0,,84.0
2024,Adelaide,"Jones, Chayce",R3,3.0,False,GE,8.0,,6.0,,,,2.0,1.0,2.0,4.0,,3.0,,,6.0,,,1.0,,87.0
2024,Adelaide,"Keane, Mark",R3,3.0,False,GE,11.0,6.0,1.0,,,,1.0,4.0,2.0,,2.0,,1.0,,7.0,1.0,,5.0,,93.0
2024,Adelaide,"Keays, Ben",R3,3.0,False,GE,8.0,3.0,2.0,,,,2.0,,5.0,1.0,3.0,,1.0,,6.0,,,1.0,,77.0
2024,Adelaide,"Laird, Rory",R3,3.0,False,GE,11.0,2.0,18.0,,,,7.0,2.0,2.0,8.0,2.0,2.0,,,11.0,,,1.0,,77.0
2024,Adelaide,"McHenry, Ned",R3,3.0,False,GE,8.0,7.0,3.0,,,,5.0,1.0,2.0,1.0,3.0,,,,8.0,,,,,32.0
2024,Adelaide,"Michalanney, Max",R3,3.0,False,GE,10.0,6.0,5.0,,,,1.0,,2.0,,4.0,,1.0,,11.0,,,4.0,,88.0
2024,Adelaide,"Milera, Wayne",R3,3.0,False,GE,12.0,5.0,2.0,,,,2.0,7.0,2.0,,,,,,9.0,,,8.0,,80.0
2024,Adelaide,"Murphy, Lachlan",R3,3.0,False,GE,4.0,4.0,5.0,,,,2.0,,4.0,,1.0,,,,5.0,,,1.0,,78.0
2024,Adelaide,"OBrien, Reilly",R3,3.0,False,GE,10.0,,8.0,1.0,,47.0,1.0,,2.0,9.0,10.0,2.0,1.0,,7.0,,,5.0,,86.0
2024,Adelaide,"Pedlar, Luke",R3,3.0,False,GE,9.0,2.0,1.0,,1.0,,,,5.0,2.0,3.0,,1.0,,7.0,,,2.0,,72.0
2024,Adelaide,"Rachele, Josh",R3,3.0,False,GE,11.0,6.0,6.0,1.0,,,1.0,1.0,3.0,,5.0,,1.0,,10.0,1.0,1.0,1.0,,79.0
2024,Adelaide,"Rankine, Izak",R3,3.0,False,GE,12.0,2.0,4.0,2.0,,,4.0,,3.0,2.0,5.0,,2.0,,6.0,,,2.0,,89.0
2024,Adelaide,"Smith, Brodie",R3,3.0,False,GE,11.0,1.0,3.0,,,,3.0,2.0,2.0,2.0,1.0,1.0,,,8.0,,,1.0,,82.0
2024,Adelaide,"Soligo, Jake",R3,3.0,False,GE,12.0,4.0,3.0,1.0,,,3.0,4.0,2.0,1.0,2.0,1.0,,,10.0,,,1.0,1.0,79.0
2024,Adelaide,"Walker, Taylor",R3,3.0,False,GE,11.0,6.0,3.0,2.0,2.0,4.0,1.0,,3.0,1.0,4.0,1.0,,,8.0,1.0,3.0,1.0,,91.0
2024,Adelaide,"Worrell, Josh",R3,3.0,False,GE,13.0,10.0,3.0,,,,3.0,4.0,,,,,,,14.0,,,5.0,,83.0
2024,Adelaide,"Borlase, James",R4,4.0,False,FR,9.0,6.0,1.0,,,,1.0,1.0,2.0,,,3.0,,,6.0,1.0,,9.0,,95.0
2024,Adelaide,"Burgess, Chris",R4,4.0,False,FR,9.0,2.0,1.0,1.0,2.0,7.0,,,2.0,,2.0,2.0,1.0,,2.0,1.0,2.0,,,87.0
2024,Adelaide,"Crouch, Matt",R4,4.0,False,FR,7.0,5.0,21.0,,,,5.0,1.0,1.0,7.0,1.0,1.0,1.0,,13.0,,,,1.0,74.0
2024,Adelaide,"Dawson, Jordan",R4,4.0,False,FR,19.0,3.0,8.0,,,,5.0,2.0,7.0,4.0,7.0,1.0,1.0,,17.0,,,,,80.0
2024,Adelaide,"Fogarty, Darcy",R4,4.0,False,FR,7.0,4.0,4.0,,2.0,,,,3.0,,3.0,2.0,2.0,,6.0,,1.0,2.0,,91.0
2024,Adelaide,"Hinge, Mitch",R4,4.0,False,FR,15.0,6.0,4.0,,,,1.0,5.0,4.0,1.0,4.0,,1.0,,11.0,,,4.0,,86.0
2024,Adelaide,"Jones, Chayce",R4,4.0,False,FR,7.0,4.0,5.0,,,,1.0,4.0,1.0,1.0,,,,,10.0,,,1.0,,87.0
2024,Adelaide,"Keane, Mark",R4,4.0,False,FR,19.0,11.0,7.0,,,,,5.0,,,2.0,1.0,2.0,,18.0,,,3.0,,97.0
2024,Adelaide,"Keays, Ben",R4,4.0,False,FR,13.0,4.0,6.0,1.0,1.0,,1.0,1.0,2.0,3.0,3.0,,,,8.0,,,,,84.0
2024,Adelaide,"Laird, Rory",R4,4.0,False,FR,13.0,7.0,12.0,,,,6.0,4.0,3.0,4.0,2.0,,2.0,,20.0,,,1.0,,78.0
2024,Adelaide,"McHenry, Ned",R4,4.0,False,FR,9.0,3.0,4.0,1.0,,,1.0,,,,2.0,1.0,1.0,,11.0,,,1.0,,73.0
2024,Adelaide,"Michalanney, Max",R4,4.0,False,FR,10.0,7.0,3.0,,,,5.0,3.0,1.0,,2.0,,1.0,,9.0,1.0,,4.0,1.0,85.0
2024,Adelaide,"Milera, Wayne",R4,4.0,False,FR,10.0,4.0,3.0,,,,1.0,5.0,2.0,1.0,4.0,1.0,1.0,,8.0,,,1.0,,57.0
2024,Adelaide,"Murphy, Lachlan",R4,4.0,False,FR,3.0,1.0,1.0,,,,,,,,1.0,,,,4.0,,,,,25.0
2024,Adelaide,"OBrien, Reilly",R4,4.0,False,FR,2.0,3.0,5.0,,,33.0,2.0,1.0,1.0,1.0,5.0,,3.0,,3.0,1.0,,4.0,,88.0
2024,Adelaide,"Pedlar, Luke",R4,4.0,False,FR,3.0,2.0,1.0,,,,2.0,,,1.0,2.0,,2.0,,3.0,,,,,40.0
2024,Adelaide,"Rachele, Josh",R4,4.0,False,FR,9.0,3.0,4.0,,1.0,,,,3.0,,2.0,1.0,1.0,,8.0,,1.0,1.0,,71.0
2024,Adelaide,"Rankine, Izak",R4,4.0,False,FR,9.0,4.0,7.0,,,,4.0,,3.0,2.0,2.0,2.0,,,9.0,,,2.0,,85.0
2024,Adelaide,"Sholl, Lachlan",R4,4.0,False,FR,12.0,4.0,6.0,1.0,,,2.0,2.0,1.0,,2.0,,,,15.0,,,2.0,,81.0
2024,Adelaide,"Smith, Brodie",R4,4.0,False,FR,16.0,6.0,6.0,,,,2.0,4.0,2.0,,3.0,3.0,1.0,,15.0,,,2.0,,79.0
2024,Adelaide,"Soligo, Jake",R4,4.0,False,FR,13.0,5.0,8.0,,1.0,,,,2.0,3.0,2.0,1.0,1.0,,14.0,,,2.0,,79.0
2024,Adelaide,"Walker, Taylor",R4,4.0,False,FR,7.0,3.0,,,1.0,,2.0,,4.0,,2.0,,,,5.0,,1.0,2.0,,98.0
2024,Adelaide,"Worrell, Josh",R4,4.0,False,FR,10.0,8.0,7.0,,,,2.0,3.0,,,3.0,,2.0,,13.0,,,4.0,,82.0
2024,Adelaide,"Berry, Sam",R5,5.0,False,ME,3.0,,4.0,,,,4.0,,,1.0,,1.0,,,3.0,,,1.0,,33.0
2024,Adelaide,"Burgess, Chris",R5,5.0,False,ME,1.0,,3.0,,1.0,4.0,1.0,,1.0,,,,,,2.0,,,1.0,,41.0
2024,Adelaide,"Butts, Jordon",R5,5.0,False,ME,2.0,2.0,4.0,,,,1.0,1.0,,,2.0,,1.0,,3.0,,,9.0,,88.0
2024,Adelaide,"Cook, Brayden",R5,5.0,False,ME,6.0,4.0,2.0,,1.0,,2.0,,3.0,,,,,,5.0,2.0,,3.0,,56.0
2024,Adelaide,"Crouch, Matt",R5,5.0,False,ME,10.0,4.0,20.0,,1.0,,5.0,1.0,2.0,5.0,3.0,3.0,,1.0,20.0,,,1.0,,67.0
2024,Adelaide,"Dawson, Jordan",R5,5.0,False,ME,15.0,8.0,8.0,1.0,1.0,,5.0,2.0,3.0,2.0,1.0,,,,17.0,2.0,1.0,,,84.0
2024,Adelaide,"Fogarty, Darcy",R5,5.0,False,ME,8.0,3.0,2.0,2.0,,,,,3.0,,1.0,2.0,,,5.0,1.0,2.0,2.0,,84.0
2024,Adelaide,"Hinge, Mitch",R5,5.0,False,ME,16.0,5.0,8.0,,,,5.0,5.0,2.0,4.0,2.0,1.0,,,11.0,,,3.0,,80.0
2024,Adelaide,"Jones, Chayce",R5,5.0,False,ME,7.0,1.0,8.0,,,,5.0,2.0,,3.0,1.0,1.0,,,7.0,,,1.0,,83.0
2024,Adelaide,"Keane, Mark",R5,5.0,False,ME,18.0,10.0,5.0,,,,2.0,5.0,2.0,,6.0,2.0,2.0,,13.0,1.0,,6.0,,95.0
2024,Adelaide,"Keays, Ben",R5,5.0,False,ME,8.0,3.0,5.0,1.0,,,1.0,,3.0,1.0,1.0,,,,9.0,,,,,85.0
2024,Adelaide,"Laird, Rory",R5,5.0,False,ME,11.0,4.0,13.0,1.0,,,6.0,1.0,5.0,3.0,1.0,2.0,,,16.0,,1.0,2.0,,69.0
2024,Adelaide,"McHenry, Ned",R5,5.0,False,ME,7.0,7.0,3.0,,,,2.0,2.0,3.0,,2.0,,,,8.0,,,1.0,,81.0
2024,Adelaide,"Michalanney, Max",R5,5.0,False,ME,11.0,8.0,4.0,,,,,6.0,1.0,,2.0,,,,12.0,,,6.0,,92.0
2024,Adelaide,"Nankervis, Luke",R5,5.0,False,ME,9.0,4.0,8.0,,,,1.0,,2.0,1.0,1.0,1.0,1.0,,13.0,,,,,78.0
2024,Adelaide,"OBrien, Reilly",R5,5.0,False,ME,6.0,,4.0,,,39.0,3.0,,3.0,5.0,,,,,4.0,,,5.0,,87.0
2024,Adelaide,"Parnell, Patrick",R5,5.0,False,ME,8.0,2.0,2.0,,,,,1.0,,,1.0,,,,8.0,,,,,76.0
2024,Adelaide,"Rachele, Josh",R5,5.0,False,ME,7.0,3.0,7.0,1.0,2.0,,2.0,,2.0,,3.0,1.0,1.0,,10.0,,,2.0,,83.0
2024,Adelaide,"Rankine, Izak",R5,5.0,False,ME,12.0,4.0,6.0,1.0,3.0,,2.0,,5.0,3.0,3.0,,2.0,,10.0,,,2.0,,96.0
2024,Adelaide,"Smith, Brodie",R5,5.0,False,ME,18.0,8.0,9.0,,,,2.0,8.0,4.0,1.0,1.0,1.0,,,17.0,1.0,,3.0,,92.0
