season,round,home,away,home_score,away_score,home_goals,home_behinds,away_goals,away_behinds,venue,start_time_utc,match_id_source,source_kind,raw_payload
2025,19,Essendon,Greater Western Sydney,56,104,7,14,16,8,Docklands,2025-07-17 11:30:00+00:00,37244,squiggle,"{""hbehinds"": 14, ""date"": ""2025-07-17 19:30:00"", ""complete"": 100, ""hgoals"": 7, ""ateamid"": 9, ""winnerteamid"": 9, ""hscore"": 56, ""is_final"": 0, ""winner"": ""Greater Western Sydney"", ""hteam"": ""Essendon"", ""id"": 37244, ""roundname"": ""Round 19"", ""tz"": ""+10:00"", ""unixtime"": 1752744600, ""venue"": ""Docklands"", ""ateam"": ""Greater Western Sydney"", ""hteamid"": 5, ""agoals"": 16, ""ascore"": 104, ""timestr"": ""Full Time"", ""is_grand_final"": 0, ""abehinds"": 8, ""round"": 19, ""updated"": ""2025-07-17 22:08:09"", ""year"": 2025, ""localtime"": ""2025-07-17 19:30:00""}"
2025,19,Brisbane Lions,Western Bulldogs,86,76,12,14,12,4,Gabba,2025-07-18 11:40:00+00:00,37248,squiggle,"{""round"": 19, ""abehinds"": 4, ""year"": 2025, ""localtime"": ""2025-07-18 19:40:00"", ""updated"": ""2025-07-18 22:22:12"", ""is_grand_final"": 0, ""agoals"": 12, ""ascore"": 76, ""hteamid"": 2, ""timestr"": ""Full Time"", ""venue"": ""Gabba"", ""ateam"": ""Western Bulldogs"", ""tz"": ""+10:00"", ""unixtime"": 1752831600, ""id"": 37248, ""hteam"": ""Brisbane Lions"", ""roundname"": ""Round 19"", ""is_final"": 0, ""complete"": 100, ""hscore"": 86, ""winnerteamid"": 2, ""hgoals"": 12, ""ateamid"": 18, ""winner"": ""Brisbane Lions"", ""date"": ""2025-07-18 19:40:00"", ""hbehinds"": 14}"
2025,19,Hawthorn,Port Adelaide,87,49,13,9,7,7,York Park,2025-07-19 05:20:00+00:00,37249,squiggle,"{""is_final"": 0, ""hscore"": 87, ""hgoals"": 13, ""complete"": 100, ""ateamid"": 13, ""winnerteamid"": 10, ""winner"": ""Hawthorn"", ""id"": 37249, ""hteam"": ""Hawthorn"", ""roundname"": ""Round 19"", ""hbehinds"": 9, ""date"": ""2025-07-19 13:20:00"", ""is_grand_final"": 0, ""round"": 19, ""abehinds"": 7, ""localtime"": ""2025-07-19 13:20:00"", ""year"": 2025, ""updated"": ""2025-07-19 15:59:48"", ""ateam"": ""Port Adelaide"", ""venue"": ""York Park"", ""tz"": ""+10:00"", ""unixtime"": 1752895200, ""agoals"": 7, ""ascore"": 49, ""hteamid"": 10, ""timestr"": ""Full Time""}"
2025,19,Sydney,North Melbourne,84,53,12,12,7,11,S.C.G.,2025-07-19 08:15:00+00:00,37247,squiggle,"{""is_grand_final"": 0, ""abehinds"": 11, ""round"": 19, ""updated"": ""2025-07-19 18:56:35"", ""localtime"": ""2025-07-19 16:15:00"", ""year"": 2025, ""unixtime"": 1752905700, ""tz"": ""+10:00"", ""ateam"": ""North Melbourne"", ""venue"": ""S.C.G."", ""agoals"": 7, ""ascore"": 53, ""hteamid"": 16, ""timestr"": ""Full Time"", ""complete"": 100, ""hgoals"": 12, ""hscore"": 84, ""ateamid"": 12, ""winnerteamid"": 16, ""is_final"": 0, ""winner"": ""Sydney"", ""hteam"": ""Sydney"", ""id"": 37247, ""roundname"": ""Round 19"", ""hbehinds"": 12, ""date"": ""2025-07-19 16:15:00""}"
2025,19,Carlton,Melbourne,78,70,12,6,10,10,M.C.G.,2025-07-19 11:35:00+00:00,37245,squiggle,"{""winner"": ""Carlton"", ""hscore"": 78, ""hgoals"": 12, ""complete"": 100, ""ateamid"": 11, ""winnerteamid"": 3, ""is_final"": 0, ""roundname"": ""Round 19"", ""hteam"": ""Carlton"", ""id"": 37245, ""hbehinds"": 6, ""date"": ""2025-07-19 19:35:00"", ""is_grand_final"": 0, ""updated"": ""2025-07-19 22:14:12"", ""year"": 2025, ""localtime"": ""2025-07-19 19:35:00"", ""abehinds"": 10, ""round"": 19, ""tz"": ""+10:00"", ""unixtime"": 1752917700, ""ateam"": ""Melbourne"", ""venue"": ""M.C.G."", ""timestr"": ""Full Time"", ""ascore"": 70, ""hteamid"": 3, ""agoals"": 10}"
2025,19,West Coast,Richmond,56,105,8,8,16,9,Perth Stadium,2025-07-19 12:10:00+00:00,37251,squiggle,"{""is_grand_final"": 0, ""round"": 19, ""abehinds"": 9, ""localtime"": ""2025-07-19 18:10:00"", ""year"": 2025, ""updated"": ""2025-07-19 22:46:07"", ""ateam"": ""Richmond"", ""venue"": ""Perth Stadium"", ""unixtime"": 1752919800, ""tz"": ""+10:00"", ""agoals"": 16, ""ascore"": 105, ""hteamid"": 17, ""timestr"": ""Full Time"", ""is_final"": 0, ""hscore"": 56, ""complete"": 100, ""winnerteamid"": 14, ""ateamid"": 14, ""hgoals"": 8, ""winner"": ""Richmond"", ""id"": 37251, ""hteam"": ""West Coast"", ""roundname"": ""Round 19"", ""hbehinds"": 8, ""date"": ""2025-07-19 20:10:00""}"
2025,19,Geelong,St Kilda,113,82,17,11,12,10,Kardinia Park,2025-07-20 05:10:00+00:00,37243,squiggle,"{""tz"": ""+10:00"", ""unixtime"": 1752981000, ""ateam"": ""St Kilda"", ""venue"": ""Kardinia Park"", ""timestr"": ""Full Time"", ""ascore"": 82, ""hteamid"": 7, ""agoals"": 12, ""is_grand_final"": 0, ""updated"": ""2025-07-20 15:57:50"", ""localtime"": ""2025-07-20 13:10:00"", ""year"": 2025, ""abehinds"": 10, ""round"": 19, ""hbehinds"": 11, ""date"": ""2025-07-20 13:10:00"", ""winner"": ""Geelong"", ""hscore"": 113, ""hgoals"": 17, ""complete"": 100, ""winnerteamid"": 7, ""ateamid"": 15, ""is_final"": 0, ""roundname"": ""Round 19"", ""hteam"": ""Geelong"", ""id"": 37243}"
2025,19,Collingwood,Fremantle,78,79,11,12,12,7,M.C.G.,2025-07-20 07:15:00+00:00,37246,squiggle,"{""tz"": ""+10:00"", ""unixtime"": 1752988500, ""ateam"": ""Fremantle"", ""venue"": ""M.C.G."", ""timestr"": ""Full Time"", ""hteamid"": 4, ""ascore"": 79, ""agoals"": 12, ""is_grand_final"": 0, ""updated"": ""2025-07-20 17:57:06"", ""year"": 2025, ""localtime"": ""2025-07-20 15:15:00"", ""abehinds"": 7, ""round"": 19, ""hbehinds"": 12, ""date"": ""2025-07-20 15:15:00"", ""winner"": ""Fremantle"", ""hgoals"": 11, ""hscore"": 78, ""ateamid"": 6, ""winnerteamid"": 6, ""complete"": 100, ""is_final"": 0, ""roundname"": ""Round 19"", ""hteam"": ""Collingwood"", ""id"": 37246}"
2025,19,Adelaide,Gold Coast,107,46,16,11,6,10,Adelaide Oval,2025-07-20 08:40:00+00:00,37250,squiggle,"{""hbehinds"": 11, ""date"": ""2025-07-20 16:40:00"", ""winner"": ""Adelaide"", ""is_final"": 0, ""hgoals"": 16, ""ateamid"": 8, ""hscore"": 107, ""complete"": 100, ""winnerteamid"": 1, ""roundname"": ""Round 19"", ""id"": 37250, ""hteam"": ""Adelaide"", ""venue"": ""Adelaide Oval"", ""ateam"": ""Gold Coast"", ""unixtime"": 1752993600, ""tz"": ""+10:00"", ""timestr"": ""Full Time"", ""agoals"": 6, ""hteamid"": 1, ""ascore"": 46, ""is_grand_final"": 0, ""localtime"": ""2025-07-20 16:10:00"", ""year"": 2025, ""updated"": ""2025-07-20 19:22:57"", ""round"": 19, ""abehinds"": 10}"
