season,round,home,away,home_score,away_score,home_goals,home_behinds,away_goals,away_behinds,venue,start_time_utc,match_id_source,source_kind,raw_payload
2025,18,Carlton,Brisbane Lions,66,103,9,12,15,13,Docklands,2025-07-10 11:30:00+00:00,37237,squiggle,"{""ateam"": ""Brisbane Lions"", ""venue"": ""Docklands"", ""unixtime"": 1752139800, ""tz"": ""+10:00"", ""timestr"": ""Full Time"", ""agoals"": 15, ""hteamid"": 3, ""ascore"": 103, ""is_grand_final"": 0, ""localtime"": ""2025-07-10 19:30:00"", ""year"": 2025, ""updated"": ""2025-07-10 22:11:09"", ""round"": 18, ""abehinds"": 13, ""hbehinds"": 12, ""date"": ""2025-07-10 19:30:00"", ""winner"": ""Brisbane Lions"", ""is_final"": 0, ""hgoals"": 9, ""ateamid"": 2, ""complete"": 100, ""hscore"": 66, ""winnerteamid"": 2, ""roundname"": ""Round 18"", ""id"": 37237, ""hteam"": ""Carlton""}"
2025,18,Gold Coast,Collingwood,69,63,10,9,8,15,Carrara,2025-07-11 11:40:00+00:00,37240,squiggle,"{""id"": 37240, ""hteam"": ""Gold Coast"", ""roundname"": ""Round 18"", ""is_final"": 0, ""ateamid"": 4, ""hscore"": 69, ""complete"": 100, ""hgoals"": 10, ""winnerteamid"": 8, ""winner"": ""Gold Coast"", ""date"": ""2025-07-11 19:40:00"", ""hbehinds"": 9, ""round"": 18, ""abehinds"": 15, ""year"": 2025, ""localtime"": ""2025-07-11 19:40:00"", ""updated"": ""2025-07-11 22:19:38"", ""is_grand_final"": 0, ""agoals"": 8, ""ascore"": 63, ""hteamid"": 8, ""timestr"": ""Full Time"", ""venue"": ""Carrara"", ""ateam"": ""Collingwood"", ""unixtime"": 1752226800, ""tz"": ""+10:00""}"
2025,18,Western Bulldogs,Adelaide,98,109,15,8,16,13,Docklands,2025-07-12 05:20:00+00:00,37235,squiggle,"{""roundname"": ""Round 18"", ""id"": 37235, ""hteam"": ""Western Bulldogs"", ""winner"": ""Adelaide"", ""is_final"": 0, ""complete"": 100, ""hscore"": 98, ""hgoals"": 15, ""ateamid"": 1, ""winnerteamid"": 1, ""date"": ""2025-07-12 13:20:00"", ""hbehinds"": 8, ""localtime"": ""2025-07-12 13:20:00"", ""year"": 2025, ""updated"": ""2025-07-12 16:02:36"", ""round"": 18, ""abehinds"": 13, ""is_grand_final"": 0, ""timestr"": ""Full Time"", ""hteamid"": 18, ""ascore"": 109, ""agoals"": 16, ""venue"": ""Docklands"", ""ateam"": ""Adelaide"", ""tz"": ""+10:00"", ""unixtime"": 1752290400}"
2025,18,Greater Western Sydney,Geelong,111,85,17,9,13,7,Sydney Showground,2025-07-12 08:15:00+00:00,37234,squiggle,"{""winner"": ""Greater Western Sydney"", ""is_final"": 0, ""hscore"": 111, ""ateamid"": 7, ""complete"": 100, ""winnerteamid"": 9, ""hgoals"": 17, ""roundname"": ""Round 18"", ""id"": 37234, ""hteam"": ""Greater Western Sydney"", ""hbehinds"": 9, ""date"": ""2025-07-12 16:15:00"", ""is_grand_final"": 0, ""localtime"": ""2025-07-12 16:15:00"", ""year"": 2025, ""updated"": ""2025-07-12 18:56:38"", ""round"": 18, ""abehinds"": 7, ""ateam"": ""Geelong"", ""venue"": ""Sydney Showground"", ""unixtime"": 1752300900, ""tz"": ""+10:00"", ""timestr"": ""Full Time"", ""hteamid"": 9, ""agoals"": 13, ""ascore"": 85}"
2025,18,Richmond,Essendon,46,37,6,10,4,13,M.C.G.,2025-07-12 11:35:00+00:00,37239,squiggle,"{""hteam"": ""Richmond"", ""id"": 37239, ""roundname"": ""Round 18"", ""hgoals"": 6, ""hscore"": 46, ""ateamid"": 5, ""complete"": 100, ""winnerteamid"": 14, ""is_final"": 0, ""winner"": ""Richmond"", ""date"": ""2025-07-12 19:35:00"", ""hbehinds"": 10, ""abehinds"": 13, ""round"": 18, ""updated"": ""2025-07-12 22:03:19"", ""year"": 2025, ""localtime"": ""2025-07-12 19:35:00"", ""is_grand_final"": 0, ""agoals"": 4, ""ascore"": 37, ""hteamid"": 14, ""timestr"": ""Full Time"", ""unixtime"": 1752312900, ""tz"": ""+10:00"", ""ateam"": ""Essendon"", ""venue"": ""M.C.G.""}"
2025,18,Fremantle,Hawthorn,77,64,12,5,9,10,Perth Stadium,2025-07-12 12:10:00+00:00,37242,squiggle,"{""updated"": ""2025-07-12 22:52:54"", ""year"": 2025, ""localtime"": ""2025-07-12 18:10:00"", ""abehinds"": 10, ""round"": 18, ""is_grand_final"": 0, ""timestr"": ""Full Time"", ""ascore"": 64, ""agoals"": 9, ""hteamid"": 6, ""tz"": ""+10:00"", ""unixtime"": 1752315000, ""ateam"": ""Hawthorn"", ""venue"": ""Perth Stadium"", ""roundname"": ""Round 18"", ""hteam"": ""Fremantle"", ""id"": 37242, ""winner"": ""Fremantle"", ""complete"": 100, ""hscore"": 77, ""ateamid"": 10, ""hgoals"": 12, ""winnerteamid"": 6, ""is_final"": 0, ""date"": ""2025-07-12 20:10:00"", ""hbehinds"": 5}"
2025,18,Melbourne,North Melbourne,119,83,18,11,12,11,M.C.G.,2025-07-13 05:10:00+00:00,37238,squiggle,"{""winner"": ""Melbourne"", ""hgoals"": 18, ""complete"": 100, ""winnerteamid"": 11, ""ateamid"": 12, ""hscore"": 119, ""is_final"": 0, ""roundname"": ""Round 18"", ""hteam"": ""Melbourne"", ""id"": 37238, ""hbehinds"": 11, ""date"": ""2025-07-13 13:10:00"", ""is_grand_final"": 0, ""updated"": ""2025-07-13 15:59:39"", ""year"": 2025, ""localtime"": ""2025-07-13 13:10:00"", ""abehinds"": 11, ""round"": 18, ""unixtime"": 1752376200, ""tz"": ""+10:00"", ""venue"": ""M.C.G."", ""ateam"": ""North Melbourne"", ""timestr"": ""Full Time"", ""hteamid"": 11, ""agoals"": 12, ""ascore"": 83}"
2025,18,St Kilda,Sydney,87,92,13,9,14,8,Docklands,2025-07-13 07:15:00+00:00,37236,squiggle,"{""is_grand_final"": 0, ""updated"": ""2025-07-13 18:00:16"", ""localtime"": ""2025-07-13 15:15:00"", ""year"": 2025, ""abehinds"": 8, ""round"": 18, ""tz"": ""+10:00"", ""unixtime"": 1752383700, ""venue"": ""Docklands"", ""ateam"": ""Sydney"", ""timestr"": ""Full Time"", ""agoals"": 14, ""ascore"": 92, ""hteamid"": 15, ""winner"": ""Sydney"", ""hscore"": 87, ""hgoals"": 13, ""ateamid"": 16, ""winnerteamid"": 16, ""complete"": 100, ""is_final"": 0, ""roundname"": ""Round 18"", ""hteam"": ""St Kilda"", ""id"": 37236, ""hbehinds"": 9, ""date"": ""2025-07-13 15:15:00""}"
2025,18,Port Adelaide,West Coast,87,61,12,15,9,7,Adelaide Oval,2025-07-13 08:40:00+00:00,37241,squiggle,"{""is_grand_final"": 0, ""localtime"": ""2025-07-13 16:10:00"", ""year"": 2025, ""updated"": ""2025-07-13 19:20:27"", ""round"": 18, ""abehinds"": 7, ""ateam"": ""West Coast"", ""venue"": ""Adelaide Oval"", ""unixtime"": 1752388800, ""tz"": ""+10:00"", ""timestr"": ""Full Time"", ""ascore"": 61, ""agoals"": 9, ""hteamid"": 13, ""winner"": ""Port Adelaide"", ""is_final"": 0, ""hgoals"": 12, ""hscore"": 87, ""complete"": 100, ""ateamid"": 17, ""winnerteamid"": 13, ""roundname"": ""Round 18"", ""id"": 37241, ""hteam"": ""Port Adelaide"", ""hbehinds"": 15, ""date"": ""2025-07-13 16:40:00""}"
