game_key,season,round,venue_id,venue_norm_canon,scheduled_time_utc,weather_time_utc,captured_at_utc,minutes_to_ko_abs,payload_json,temp_c,pressure_hpa,cloud_pct,rain_prob,wind_speed_ms,wind_gust_ms,tz,provider,lat,lon
1073dc780bfd14ed30f012f839561c8cd542f7e4,2025,finals_w1,e3c6b8a9d462e41beb28bd4ee90d851d305dc81f,the mcg,2025-09-05 09:40:00+00:00,2025-09-05 10:00:00+00:00,2025-09-04 07:48:03.885327+00:00,20.0,"{""forecast_time_utc"": ""2025-09-05T10:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.14960765838623047}}",3.2,1027.2,85.0,0.0,1.0,2.1,Australia/Melbourne,open-meteo,-37.819954,144.983398
1a44bec2e4ed64ccb9f86c26d0a536e7ce7bd111,2025,finals_w1,3c736a6f31b8ab6707b610352c06f0c01faf645f,engie stadium,2025-09-06 05:15:00+00:00,2025-09-06 05:00:00+00:00,2025-09-04 07:48:03.885327+00:00,15.0,"{""forecast_time_utc"": ""2025-09-06T05:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.13899803161621094}}",11.8,1029.1,12.0,0.0,0.45,1.5,Australia/Sydney,open-meteo,-33.84306,151.06778
5c88f41642b14642aa013291dbf778c5cee1f6a6,2025,finals_w1,6c30951b060d107f0f225a775557b30f5c432160,adelaide oval,2025-09-04 09:40:00+00:00,2025-09-04 10:00:00+00:00,2025-09-04 07:48:03.885327+00:00,20.0,"{""forecast_time_utc"": ""2025-09-04T10:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 0.12946128845214844}}",10.8,1023.5,100.0,0.0,4.3,5.7,Australia/Adelaide,open-meteo,-34.91558,138.59619
b071c826305c0954068c4ab49c01749be541c674,2025,finals_w1,72ea2e3f97bab35c35f4fcfbeb7c71a400d3b81d,optus stadium,2025-09-06 09:35:00+00:00,2025-09-06 10:00:00+00:00,2025-09-04 07:48:03.885327+00:00,25.0,"{""forecast_time_utc"": ""2025-09-06T10:00:00+00:00"", ""game_key"": ""2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z"", ""raw_payload"": {""elevation"": 9.0, ""generationtime_ms"": 0.13148784637451172}}",15.0,1015.4,48.0,0.38,5.74,9.6,Australia/Perth,open-meteo,-31.95111,115.88917
