season,round,home,away,home_score,away_score,home_goals,home_behinds,away_goals,away_behinds,venue,start_time_utc,match_id_source,source_kind,raw_payload
2025,7,Melbourne,Richmond,83,63,12,11,9,9,M.C.G.,2025-04-24 11:30:00+00:00,37144,squiggle,"{""winner"": ""Melbourne"", ""is_final"": 0, ""hscore"": 83, ""hgoals"": 12, ""ateamid"": 14, ""complete"": 100, ""winnerteamid"": 11, ""roundname"": ""Round 7"", ""id"": 37144, ""hteam"": ""Melbourne"", ""hbehinds"": 11, ""date"": ""2025-04-24 19:30:00"", ""is_grand_final"": 0, ""year"": 2025, ""localtime"": ""2025-04-24 19:30:00"", ""updated"": ""2025-04-25 17:46:06"", ""round"": 7, ""abehinds"": 9, ""venue"": ""M.C.G."", ""ateam"": ""Richmond"", ""tz"": ""+10:00"", ""unixtime"": 1745487000, ""timestr"": ""Full Time"", ""hteamid"": 11, ""ascore"": 63, ""agoals"": 9}"
2025,7,Collingwood,Essendon,107,66,16,11,10,6,M.C.G.,2025-04-25 07:20:00+00:00,37145,squiggle,"{""date"": ""2025-04-25 15:20:00"", ""hbehinds"": 11, ""roundname"": ""Round 7"", ""id"": 37145, ""hteam"": ""Collingwood"", ""winner"": ""Collingwood"", ""is_final"": 0, ""hgoals"": 16, ""winnerteamid"": 4, ""complete"": 100, ""ateamid"": 5, ""hscore"": 107, ""timestr"": ""Full Time"", ""ascore"": 66, ""hteamid"": 4, ""agoals"": 10, ""ateam"": ""Essendon"", ""venue"": ""M.C.G."", ""tz"": ""+10:00"", ""unixtime"": 1745558400, ""localtime"": ""2025-04-25 15:20:00"", ""year"": 2025, ""updated"": ""2025-04-25 18:01:08"", ""round"": 7, ""abehinds"": 6, ""is_grand_final"": 0}"
2025,7,Fremantle,Adelaide,85,67,12,13,9,13,Perth Stadium,2025-04-25 12:10:00+00:00,37146,squiggle,"{""timestr"": ""Full Time"", ""ascore"": 67, ""hteamid"": 6, ""agoals"": 9, ""unixtime"": 1745575800, ""tz"": ""+10:00"", ""ateam"": ""Adelaide"", ""venue"": ""Perth Stadium"", ""updated"": ""2025-04-25 22:44:02"", ""localtime"": ""2025-04-25 18:10:00"", ""year"": 2025, ""abehinds"": 13, ""round"": 7, ""is_grand_final"": 0, ""date"": ""2025-04-25 20:10:00"", ""hbehinds"": 13, ""roundname"": ""Round 7"", ""hteam"": ""Fremantle"", ""id"": 37146, ""winner"": ""Fremantle"", ""complete"": 100, ""hgoals"": 12, ""ateamid"": 1, ""hscore"": 85, ""winnerteamid"": 6, ""is_final"": 0}"
2025,7,St Kilda,Brisbane Lions,73,118,11,7,17,16,Docklands,2025-04-26 05:20:00+00:00,37147,squiggle,"{""roundname"": ""Round 7"", ""id"": 37147, ""hteam"": ""St Kilda"", ""winner"": ""Brisbane Lions"", ""is_final"": 0, ""complete"": 100, ""hscore"": 73, ""ateamid"": 2, ""hgoals"": 11, ""winnerteamid"": 2, ""date"": ""2025-04-26 13:20:00"", ""hbehinds"": 7, ""localtime"": ""2025-04-26 13:20:00"", ""year"": 2025, ""updated"": ""2025-04-26 16:06:17"", ""round"": 7, ""abehinds"": 16, ""is_grand_final"": 0, ""timestr"": ""Full Time"", ""agoals"": 17, ""hteamid"": 15, ""ascore"": 118, ""venue"": ""Docklands"", ""ateam"": ""Brisbane Lions"", ""unixtime"": 1745637600, ""tz"": ""+10:00""}"
2025,7,Port Adelaide,North Melbourne,97,88,14,13,13,10,Adelaide Oval,2025-04-26 08:15:00+00:00,37148,squiggle,"{""hbehinds"": 13, ""date"": ""2025-04-26 16:15:00"", ""winner"": ""Port Adelaide"", ""is_final"": 0, ""hscore"": 97, ""hgoals"": 14, ""winnerteamid"": 13, ""ateamid"": 12, ""complete"": 100, ""roundname"": ""Round 7"", ""id"": 37148, ""hteam"": ""Port Adelaide"", ""venue"": ""Adelaide Oval"", ""ateam"": ""North Melbourne"", ""unixtime"": 1745648100, ""tz"": ""+10:00"", ""timestr"": ""Full Time"", ""agoals"": 13, ""ascore"": 88, ""hteamid"": 13, ""is_grand_final"": 0, ""year"": 2025, ""localtime"": ""2025-04-26 15:45:00"", ""updated"": ""2025-04-26 19:11:18"", ""round"": 7, ""abehinds"": 10}"
2025,7,Greater Western Sydney,Western Bulldogs,81,113,12,9,17,11,Manuka Oval,2025-04-26 11:35:00+00:00,37149,squiggle,"{""venue"": ""Manuka Oval"", ""ateam"": ""Western Bulldogs"", ""unixtime"": 1745660100, ""tz"": ""+10:00"", ""ascore"": 113, ""hteamid"": 9, ""agoals"": 17, ""timestr"": ""Full Time"", ""is_grand_final"": 0, ""round"": 7, ""abehinds"": 11, ""year"": 2025, ""localtime"": ""2025-04-26 19:35:00"", ""updated"": ""2025-04-26 22:22:09"", ""hbehinds"": 9, ""date"": ""2025-04-26 19:35:00"", ""is_final"": 0, ""hscore"": 81, ""hgoals"": 12, ""ateamid"": 18, ""complete"": 100, ""winnerteamid"": 18, ""winner"": ""Western Bulldogs"", ""id"": 37149, ""hteam"": ""Greater Western Sydney"", ""roundname"": ""Round 7""}"
2025,7,Gold Coast,Sydney,117,79,17,15,12,7,Carrara,2025-04-27 05:15:00+00:00,37150,squiggle,"{""ateam"": ""Sydney"", ""venue"": ""Carrara"", ""tz"": ""+10:00"", ""unixtime"": 1745723700, ""timestr"": ""Full Time"", ""ascore"": 79, ""hteamid"": 8, ""agoals"": 12, ""is_grand_final"": 0, ""localtime"": ""2025-04-27 13:15:00"", ""year"": 2025, ""updated"": ""2025-04-27 15:59:30"", ""round"": 7, ""abehinds"": 7, ""hbehinds"": 15, ""date"": ""2025-04-27 13:15:00"", ""winner"": ""Gold Coast"", ""is_final"": 0, ""ateamid"": 16, ""hscore"": 117, ""hgoals"": 17, ""winnerteamid"": 8, ""complete"": 100, ""roundname"": ""Round 7"", ""id"": 37150, ""hteam"": ""Gold Coast""}"
2025,7,Carlton,Geelong,94,76,14,10,12,4,M.C.G.,2025-04-27 07:20:00+00:00,37151,squiggle,"{""date"": ""2025-04-27 15:20:00"", ""hbehinds"": 10, ""hteam"": ""Carlton"", ""id"": 37151, ""roundname"": ""Round 7"", ""ateamid"": 7, ""hscore"": 94, ""complete"": 100, ""winnerteamid"": 3, ""hgoals"": 14, ""is_final"": 0, ""winner"": ""Carlton"", ""ascore"": 76, ""agoals"": 12, ""hteamid"": 3, ""timestr"": ""Full Time"", ""unixtime"": 1745731200, ""tz"": ""+10:00"", ""venue"": ""M.C.G."", ""ateam"": ""Geelong"", ""abehinds"": 4, ""round"": 7, ""updated"": ""2025-04-27 18:00:47"", ""localtime"": ""2025-04-27 15:20:00"", ""year"": 2025, ""is_grand_final"": 0}"
2025,7,Hawthorn,West Coast,124,74,18,16,11,8,Docklands,2025-04-27 08:45:00+00:00,37152,squiggle,"{""updated"": ""2025-04-27 19:28:39"", ""localtime"": ""2025-04-27 16:45:00"", ""year"": 2025, ""abehinds"": 8, ""round"": 7, ""is_grand_final"": 0, ""timestr"": ""Full Time"", ""hteamid"": 10, ""agoals"": 11, ""ascore"": 74, ""unixtime"": 1745736300, ""tz"": ""+10:00"", ""ateam"": ""West Coast"", ""venue"": ""Docklands"", ""roundname"": ""Round 7"", ""hteam"": ""Hawthorn"", ""id"": 37152, ""winner"": ""Hawthorn"", ""hscore"": 124, ""hgoals"": 18, ""complete"": 100, ""ateamid"": 17, ""winnerteamid"": 10, ""is_final"": 0, ""date"": ""2025-04-27 16:45:00"", ""hbehinds"": 16}"
